front,back,id,type,tier,hint,rule_ref
I should (would-form of deber),debería,L55-011,transformation,primary,would-form · -ería,L55#6
"you should (informal, would-form of deber)",deberías,L55-012,transformation,primary,tú form · would,L55#6
she/he could (would-form of poder),podría,L55-027,transformation,extended,would-form,L55#7
we could (would-form of poder),podríamos,L55-028,transformation,extended,would-form · we,L55#7
I was working / used to work,trabajaba,L56-008,transformation,primary,-ar line-past · -aba,L56#9
I/he/she was going (line-past of ir),iba,L56-009,transformation,primary,irregular line-past,L56#10
we form of comer,comemos,L57-001,conjugation,primary,to eat · -er → -emos,L57#1
he form of comer,come,L57-002,conjugation,primary,to eat · -e ending shared by -er/-ir,L57#2
they form of comer,comen,L57-003,conjugation,primary,to eat · -en shared by -er/-ir,L57#2
we form of vender,vendemos,L57-028,conjugation,extended,to sell · -er → -emos,L57#1
we form of abrir,abrimos,L57-029,conjugation,extended,to open · -ir → -imos,L57#1
we form of romper,rompemos,L57-030,conjugation,extended,to break · -er → -emos,L57#1
