front,back,id,type,tier,hint,rule_ref
I was cooking,cocinaba,L61-002,transformation,primary,line-past -aba (I/he/she),"L61#2, L61#3"
the phone,el teléfono,L61-003,transformation,primary,tele- (far) + phone (voice),L61#4
to sound / to ring,sonar,L61-004,transformation,primary,phones don't *ring* in Spanish — they *sound*,L61#5
it sounded / it rang,sonó,L61-005,transformation,primary,point-past -ó (he/she/it),"L61#5, L61#2"
I arrived,llegué,L61-007,transformation,primary,gu before é to keep hard /g/,L61#8
he arrived,llegó,L61-008,transformation,primary,point-past -ó · /y/-eh-GO,L61#8
we arrived,llegamos,L61-009,transformation,primary,-amos doubles for present + point-past,L61#8
by phone / on the phone,por teléfono,L61-010,transformation,primary,por = by (no article needed),L61#9
I stayed,me quedé,L61-011,transformation,primary,turn -se into matching pronoun · point-past -é,L61#10
he stayed,se quedó,L61-012,transformation,primary,keep se (it matches he/she),L61#10
we stayed,nos quedamos,L61-013,transformation,primary,se → nos for we,L61#10
it pleased me / I liked it,me gustó,L61-014,transformation,primary,mid-step: it pleased me,"L61#11, L61#12"
it was pleasing me / I was liking it,me gustaba,L61-015,transformation,primary,line-past -aba on gustar,L61#15
it seems to me,me parece,L61-017,transformation,primary,mind-flip: to me it seems,L61#17
it seemed to me (point),me pareció,L61-018,transformation,primary,-er point-past -ió,"L61#18, L61#2"
it was seeming to me (line),me parecía,L61-019,transformation,primary,-er line-past -ía,"L61#19, L61#2"
I was cooking when the phone rang.,Cocinaba cuando el teléfono sonó.,L61-021,sentence,primary,line (was X-ing) + point (one shot),"L61#1, L61#6, L61#5"
I was talking on the phone when Maria arrived.,Hablaba por teléfono cuando María llegó.,L61-023,sentence,primary,line + point · *por* = by,"L61#1, L61#9, L61#8"
I stayed.,Me quedé.,L61-025,sentence,primary,-se becomes me · point-past,L61#10
He stayed.,Se quedó.,L61-026,sentence,primary,keep se for he,L61#10
We stayed.,Nos quedamos.,L61-027,sentence,primary,-se → nos,L61#10
I liked it.,Me gustó.,L61-028,sentence,primary,"mid-step ""it pleased me"" · point-past",L61#12
I didn't like it.,No me gustó.,L61-029,sentence,primary,no in front,L61#14
I wasn't liking it.,No me gustaba.,L61-030,sentence,primary,line-past · ongoing feeling,L61#15
It seems good to me. (Me parece bien),Me parece bien.,L61-031,sentence,primary,bien = well/good,L61#17
It seemed good to me.,Me pareció bien.,L61-032,sentence,primary,point-past · -ió,L61#18
It was seeming good to me.,Me parecía bien.,L61-033,sentence,primary,line-past · -ía,L61#19
"When I saw it, I didn't like it.","Cuando lo vi, no me gustó.",L61-034,sentence,primary,two points back-to-back,"L61#20, L61#14"
"It was seeming good, but I didn't like it.","Me parecía bien, pero no me gustó.",L61-035,sentence,primary,line then point,"L61#19, L61#20"
I was cooking when Maria arrived.,Cocinaba cuando María llegó.,L61-036,sentence,primary,line + point,"L61#1, L61#8"
