front,back,id,type,tier,hint,rule_ref
I form of intentar,intento,L10-020,conjugation,primary,"to try · chop -ar, add -o · stress on -TEN-","L10#3, L10#4"
I form of donar,dono,L10-021,conjugation,primary,"to donate · chop -ar, add -o",L10#3
I form of crear,creo,L10-022,conjugation,primary,to create · also = I believe,L10#3
I form of comer,como,L10-023,conjugation,primary,to eat · also = how / like (homophone),L10#3
I form of organizar,organizo,L10-024,conjugation,primary,to organize · Spain: /organitho/,"L10#3, L10#14"
I form of tener,tengo,L10-025,conjugation,primary,to have · irregular -go family · not *teno*,L10#11
I form of venir,vengo,L10-026,conjugation,primary,to come · irregular -go family,L10#12
I form of contener,contengo,L10-041,conjugation,extended,to contain · follows tengo · -go family,"L10#11, L10#10"
I form of obtener,obtengo,L10-042,conjugation,extended,to obtain · follows tengo · -go family,L10#11
I form of mantener,mantengo,L10-043,conjugation,extended,to maintain · follows tengo · -go family,L10#11
I form of imaginar,imagino,L10-044,conjugation,extended,"to imagine · chop -ar, add -o",L10#3
I form of justificar,justifico,L10-045,conjugation,extended,"to justify · chop -ar, add -o · /j/→/kh/","L10#3, L3#7"
I form of explicar,explico,L10-046,conjugation,extended,"to explain · chop -ar, add -o",L10#3
I form of informar,informo,L10-047,conjugation,extended,"to inform · chop -ar, add -o",L10#3
I form of iniciar,inicio,L10-048,conjugation,extended,"to start · chop -ar, add -o",L10#3
