front,back,id,type,tier,hint,rule_ref
I don't want the door to close on me.,No quiero que la puerta se me cierre.,L81-013,sentence,primary,no quiero que → mood · se me = on me,L81#1
I don't want the door to close on me again.,No quiero que la puerta se me cierre otra vez.,L81-014,sentence,primary,otra vez at the end,"L81#1, L81#2, L81#3"
I don't want it to close on me.,No quiero que se me cierre.,L81-015,sentence,primary,drop subject · keep se me,L81#1
It closes again.,Vuelve a cerrarse.,L81-017,sentence,primary,volver a + infinitive · reflexive ending,L81#4
I don't want it to happen again. (pasar),No quiero que vuelva a pasar.,L81-019,sentence,primary,pasar = to happen,"L81#7, L81#8"
I don't want it to happen again. (ocurrir),No quiero que vuelva a ocurrir.,L81-020,sentence,primary,ocurrir variant,"L81#7, L81#8"
I called you again.,Volví a llamarte.,L81-021,sentence,primary,volver a + infinitive · te attached,L81#16
I called him again.,Volví a llamarlo.,L81-022,sentence,primary,lo attached to infinitive,L81#16
She called me again.,Volvió a llamarme.,L81-023,sentence,primary,volvió (point past) + a + infinitive,L81#16
I returned to organize.,Volví a organizar.,L81-024,sentence,primary,literal volver a here,L81#5
I wanted them to eat with us.,Quería que comieran con nosotros.,L81-025,sentence,primary,line-past want + past-mood verb,"L81#11, L81#12"
I was hoping he would call me.,Esperaba que me llamara.,L81-026,sentence,primary,"would-call → past mood, no extra word",L81#13
We needed to speak with him.,Necesitábamos hablar con él.,L81-028,sentence,primary,no que → no mood · plain infinitive,L81#14
We needed him to speak with us.,Necesitábamos que hablara con nosotros.,L81-029,sentence,primary,que → past mood,"L81#15, L81#19"
I wanted you to call me.,Quería que me llamaras.,L81-030,sentence,primary,you-informal → -aras,L81#11
I wanted her to call.,Quería que llamara.,L81-031,sentence,primary,she/he → -ara,L81#11
I was hoping you would eat with us.,Esperaba que comieras con nosotros.,L81-033,sentence,primary,-ieras for you-informal,L81#13
We needed you to call us.,Necesitábamos que nos llamaras.,L81-034,sentence,primary,nos before verb · -aras you,L81#15
I called you again to organize.,Volví a llamarte para organizar.,L81-035,sentence,primary,same subject · para + infinitive,L81#17
I called you again so we could organize.,Volví a llamarte para que organizáramos.,L81-036,sentence,primary,para que → past mood we,L81#18
It's not very relevant.,No es muy relevante.,L82-003,sentence,primary,plain — no mood yet,L82#1
It's not very relevant that they found it.,No es muy relevante que lo encontraran.,L82-004,sentence,primary,que → past mood (encontraron→encontraran),"L82#1, L82#2"
It's not very relevant that they (might) find it.,No es muy relevante que lo encuentren.,L82-005,sentence,primary,"present mood — same trigger, time shifts","L82#1, L82#2"
It was very relevant.,Era muy relevante.,L82-006,sentence,primary,era for line-past of ser,L82#3
incredible / unbelievable,increíble,L82-010,transformation,primary,from creer → creíble → in-creíble · accent on í,L82#6
believable,creíble,L82-011,transformation,primary,from creer · accent on í,L82#6
the important thing,lo importante,L82-015,transformation,primary,lo + adjective · no la cosa,L82#5
the incredible thing,lo increíble,L82-016,transformation,primary,lo + adjective,L82#5
the spectacular thing,lo espectacular,L82-017,transformation,primary,lo + adjective,L82#5
The incredible thing is that they come back.,Lo increíble es que vuelven.,L82-019,sentence,primary,lo + adj + es que → no mood,"L82#4, L82#5, L82#7"
The incredible thing is that they do it again.,Lo increíble es que vuelven a hacerlo.,L82-020,sentence,primary,dodge mood with lo + adj + es que,"L82#4, L82#5, L82#8, L82#9"
The important thing is that he speaks with us.,Lo importante es que habla con nosotros.,L82-021,sentence,primary,dodge — no mood after es que,"L82#4, L82#5, L82#9"
I would cancel,cancelaría,L83-018,transformation,primary,full inf + -ía,L83#6
I would cook,cocinaría,L83-019,transformation,primary,full inf + -ía,L83#6
I would understand,comprendería,L83-020,transformation,primary,full inf + -ía,L83#13
I would have,habría,L83-021,transformation,primary,"helper ""have"" · e drops out",L83#9
I would have gone,habría ido,L83-022,transformation,primary,would-have helper + past participle,L83#9
we would have gone,habríamos ido,L83-023,transformation,primary,habríamos + ido,L83#9
That you bought it is not my problem.,Que lo compraras no es mi problema.,L83-024,sentence,primary,"que + past mood · ""may have"" feel",L83#1
That you told him is not my problem.,Que le contaras no es mi problema.,L83-025,sentence,primary,le + past-mood you,L83#1
"If I could cook, I would cook.","Si pudiera cocinar, cocinaría.",L83-026,sentence,primary,si + past mood · then conditional,"L83#3, L83#7"
"If I could cancel it, I would cancel it.","Si pudiera cancelarlo, lo cancelaría.",L83-027,sentence,primary,lo attached · lo before conditional,"L83#3, L83#7"
"If I could see it, I would understand it. (comprender)","Si lo viera, lo comprendería.",L83-028,sentence,primary,viera (ver) · comprendería,"L83#3, L83#12, L83#13"
"If you had told me it, I would have gone.","Si me lo hubieras contado, habría ido.",L83-031,sentence,primary,si-hub-past + habría-past,"L83#8, L83#9, L83#10"
"If we had known, we would have gone.","Si hubiéramos sabido, habríamos ido.",L83-032,sentence,primary,hubiéramos · sabido · habríamos · ido,"L83#8, L83#9, L83#10"
"If you had known, you would have gone.","Si hubieras sabido, habrías ido.",L83-033,sentence,primary,you-informal both halves,"L83#8, L83#9, L83#10"
alt past-mood form of hablar (I),hablase,L83-035,transformation,primary,-ase variant of -ara,L83#14
alt past-mood form of comer (I),comiese,L83-036,transformation,primary,-iese variant of -iera,L83#14
alt past-mood form of entender (I),entendiese,L83-037,transformation,primary,-iese variant,L83#14
It happened again.,Volvió a pasar.,L81-049,sentence,extended,volver a + happen-verb,"L81#4, L81#7"
It was relevant.,Era relevante.,L82-032,sentence,extended,era line-past,L82#3
They alt-said the same thing.,"Hablase o hablara, es lo mismo.",L83-052,sentence,extended,-ase = -ara · idiomatic recognize-only,L83#14
It happens again.,Vuelve a pasar.,L81-052,sentence,primary,vuelve a + happen-verb,"L81#4, L81#7"
It was incredible.,Era increíble.,L82-035,sentence,primary,era line-past,"L82#3, L82#6"
That you came is incredible.,Que vinieras es increíble.,L83-057,sentence,primary,que + past-mood you (venir → vinieras),L83#1
I wouldn't do it.,No lo haría.,L83-058,sentence,primary,conditional of hacer,L83#6
I needed you to call me again.,Necesitaba que me volvieras a llamar.,L81-054,sentence,extended,que + past-mood + volver a + infinitive,"L81#15, L81#16"
