front,back,id,type,tier,hint,rule_ref
we form of preferir,preferimos,L18-010,conjugation,primary,"to prefer · -ir → -imos · stress off root, no split","L18#1, L18#2"
we form of vivir,vivimos,L18-012,conjugation,primary,to live · -ir → -imos,"L18#1, L18#4"
we form of perder,perdemos,L18-014,conjugation,primary,to lose · -er → -emos · no split,"L18#1, L18#13"
he form of vivir,vive,L18-020,conjugation,primary,to live · -ir borrows the -e of -er,L18#4
they form of vivir,viven,L18-021,conjugation,primary,to live · -en,L18#4
he form of venir,viene,L18-024,conjugation,primary,to come · e splits to ie · stressed,L18#3
they form of venir,vienen,L18-025,conjugation,primary,to come · e splits to ie,L18#3
I form of preferir,prefiero,L18-026,conjugation,primary,to prefer · e splits to ie,L18#2
he form of preferir,prefiere,L18-027,conjugation,primary,to prefer · e splits to ie,L18#2
they form of preferir,prefieren,L18-028,conjugation,primary,to prefer · e splits to ie,L18#2
you form of preferir,prefieres,L18-046,conjugation,extended,to prefer · e splits to ie,L18#2
you form of venir,vienes,L18-047,conjugation,extended,to come · e splits to ie,L18#3
I form of ir,voy,L19-017,conjugation,primary,to go · voy-age · from a different old verb,"L19#2, L19#3"
you form of ir,vas,L19-018,conjugation,primary,to go · work back from *vamos*,"L19#1, L19#3"
he form of ir,va,L19-019,conjugation,primary,to go · no -e (because *ir* uses /a/ here),"L19#1, L19#3"
we form of ir,vamos,L19-020,conjugation,primary,irregular · -amos · also *let's go*,"L19#3, L20#13"
they form of ir,van,L19-021,conjugation,primary,to go · -an,"L19#1, L19#3"
I form of ver,veo,L20-017,conjugation,primary,to see · keep the e · /beo/,L20#4
we form of ver,vemos,L20-020,conjugation,primary,to see · -er → -emos,"L20#3, L18#1"
