front,back,id,type,tier,hint,rule_ref
to give,dar,L24-006,transformation,primary,just d-a-r,L24#1
you guys / plural formal you,ustedes,L24-008,transformation,primary,usted + -es (consonant ending takes -es),L24#9
I give.,Doy.,L24-009,sentence,primary,,L24#2
I give it.,Lo doy.,L24-010,sentence,primary,lo before changed verb,L24#10
They give me something.,Me dan algo.,L24-017,sentence,primary,me before changed verb,"L24#10, L24#7"
They give it to me.,Me lo dan.,L24-019,sentence,primary,"personal first (me), thing second (lo)","L24#4, L24#12, L24#5"
I give it to you.,Te lo doy.,L24-020,sentence,primary,te + lo + doy,"L24#4, L24#12, L24#5"
I'll give it to you tomorrow.,Te lo doy mañana.,L24-021,sentence,primary,future via context (mañana),"L24#6, L24#4"
THEY give it to me.,Ellos me lo dan.,L24-022,sentence,primary,subject pronoun for emphasis,"L24#8, L24#4"
She gives it to me.,Me lo da.,L24-023,sentence,primary,,"L24#4, L24#10"
Are YOU (formal) giving it to me tomorrow?,¿Usted me lo da mañana?,L24-028,sentence,primary,subject up front for emphasis,"L24#8, L24#4"
Are YOU GUYS giving it to us tomorrow?,¿Ustedes nos lo dan mañana?,L24-030,sentence,primary,ustedes for emphasis,"L24#9, L24#8"
Are you guys giving me something?,¿Me dan algo?,L24-032,sentence,primary,,"L24#7, L24#10"
I want to give.,Quiero dar.,L24-034,sentence,primary,,"L24#1, L24#13"
I want to give it to you. (Te…),Te lo quiero dar.,L24-035,sentence,primary,little words BEFORE the changed verb,"L24#11, L24#13"
I want to give it to you. (Quiero…),Quiero dártelo.,L24-036,sentence,primary,OR stuck on end of dar — accent on dár-,"L24#11, L24#12"
I want to give you something.,Te quiero dar algo.,L24-037,sentence,primary,,"L24#11, L24#7"
You give me something.,Me das algo.,L24-040,sentence,extended,,"L24#10, L24#7"
She doesn't give it to me.,No me lo da.,L24-044,sentence,extended,no in front of everything,L24#4
Tomorrow I'll give it to you.,Mañana te lo doy.,L24-047,sentence,extended,time word can lead,"L24#6, L24#4"
You guys give me something.,Me dan algo ustedes.,L24-048,sentence,extended,subject at the end · order is flexible,"L24#8, L24#9"
six,seis,L25-001,transformation,primary,/seys/,L25#12
seven,siete,L25-002,transformation,primary,e-split (sete → siete) · like start of *set*,L25#12
eight,ocho,L25-003,transformation,primary,"*octa*gon, *octo*pus, *Oct*ober",L25#12
to cook,cocinar,L25-007,transformation,primary,cocina + -ar · cousin of *concoction*,L25#7
to remain / be left over,quedar,L25-013,transformation,primary,"q-u-e-d-a-r · /kedar/, never /kwedar/","L25#13, L25#14"
I stay (I remain myself),me quedo,L25-014,transformation,primary,"reflexive — me is required, not optional","L25#15, L25#19"
we stay,nos quedamos,L25-016,transformation,primary,,L25#16
here,aquí,L25-019,transformation,primary,Spain · LatAm uses *acá*,L25#18
until,hasta,L25-020,transformation,primary,silent h,L25#17
He speaks to me.,Me habla.,L25-022,sentence,primary,me = me / to me / for me — no extra word,"L25#1, L25#2"
He's speaking to me about it.,Me lo habla.,L25-024,sentence,primary,"stacking — me first, lo second",L25#1
He buys it for me.,Me lo compra.,L25-025,sentence,primary,no *para* — me already carries *for*,L25#1
Shall I buy it for you?,¿Te lo compro?,L25-027,sentence,primary,rising tone = question,L25#3
I cook.,Cocino.,L25-030,sentence,primary,,L25#8
Can you cook?,¿Puedes cocinar?,L25-032,sentence,primary,,L25#9
Can you cook something for me?,¿Me puedes cocinar algo?,L25-033,sentence,primary,me before changed verb (puedes),"L25#10, L25#2"
at six o'clock,a las seis,L25-035,sentence,primary,*horas* dropped,"L25#11, L25#12"
I have cooked at six o'clock.,He cocinado a las seis.,L25-037,sentence,primary,,L25#11
I stay.,Me quedo.,L25-040,sentence,primary,literally *I remain myself*,L25#15
I'm staying here.,Me quedo aquí.,L25-041,sentence,primary,,"L25#15, L25#18"
I'm staying here until ten.,Me quedo aquí hasta las diez.,L25-042,sentence,primary,,"L25#17, L25#11"
We're staying until nine.,Nos quedamos hasta las nueve.,L25-043,sentence,primary,,"L25#17, L25#11"
I'm staying (emphatic).,Yo me quedo.,L25-046,sentence,primary,subject for emphasis (me is still required),L25#19
"there (here, LatAm variant)",acá,L25-048,transformation,extended,= aquí · stress on -CÁ,L25#18
Do you want to do it for me? (Quieres…),¿Quieres hacérmelo?,L25-052,sentence,extended,me + lo stuck on hacer · accent,L25#5
I have cooked at ten.,He cocinado a las diez.,L25-053,sentence,extended,,L25#11
Until ten o'clock.,Hasta las diez.,L25-055,sentence,extended,,"L25#17, L25#11"
She stays here.,Se queda aquí.,L25-058,sentence,extended,,"L25#16, L25#18"
They stay until nine.,Se quedan hasta las nueve.,L25-059,sentence,extended,,"L25#16, L25#17"
to call / phone,llamar,L26-007,transformation,primary,ll = /y/ — /yamar/,L26#15
