front,back,id,type,tier,hint,rule_ref
this (masc),este,L68-001,transformation,primary,takes /e/ from *el*,"L68#3, L68#4"
this (fem),esta,L68-002,transformation,primary,-a for fem,"L68#1, L68#2"
these (masc),estos,L68-003,transformation,primary,takes -os from *los*,"L68#3, L68#4"
these (fem),estas,L68-004,transformation,primary,-as plural fem,L68#2
that (masc),ese,L68-005,transformation,primary,drop the *t* from *este*,"L68#2, L68#3"
that (fem),esa,L68-006,transformation,primary,drop the *t* from *esta*,L68#2
those (masc),esos,L68-007,transformation,primary,drop the *t* · -os plural,L68#3
this (no specific noun),esto,L68-009,transformation,primary,neuter — vague *this*,L68#6
that (no specific noun),eso,L68-010,transformation,primary,neuter — vague *that*,L68#6
night,noche,L68-012,transformation,primary,feminine — *esta noche*,L68#1
day,día,L68-013,transformation,primary,masc despite -a · *el día*,L68#11
so (e.g. so tired),tan,L68-014,transformation,primary,"degree word, never alone",L68#8
he/she believes,cree,L68-015,transformation,primary,-er regular she-form,L68#7
I believe,creo,L68-016,transformation,primary,"-er ending, regular",L68#7
"that (linker, no question)",que,L68-017,transformation,primary,no accent — joining word,L68#10
how many times,cuántas veces,L68-018,transformation,primary,*vez* is fem (otra vez) → cuántas,"L68#13, L68#14"
time / occasion (fem),vez,L68-019,transformation,primary,feminine despite no -a,"L68#13, L68#14"
times (occasions),veces,L68-020,transformation,primary,z → ces in plural,L68#13
this man,este hombre,L68-021,sentence,primary,,L68#3
that man,ese hombre,L68-022,sentence,primary,,L68#3
these men,estos hombres,L68-023,sentence,primary,,"L68#3, L68#4"
this woman (flipped order),la mujer esta,L68-025,sentence,primary,"noun first, demonstrative after",L68#5
that woman (flipped order),la mujer esa,L68-026,sentence,primary,,L68#5
this man (flipped order),el hombre este,L68-028,sentence,primary,also valid · Arabic-influenced,L68#5
all day,todo el día,L68-030,sentence,primary,*día* is masc,L68#11
I don't believe this.,No creo esto.,L68-031,sentence,primary,neuter *esto* for vague this,"L68#6, L68#7"
I don't believe that.,No creo eso.,L68-032,sentence,primary,neuter *eso* for vague that,"L68#6, L68#7"
I believe this.,Creo esto.,L68-033,sentence,primary,,"L68#6, L68#7"
Nothing pleases me more than this.,Nada me gusta más que esto.,L68-034,sentence,primary,"neuter — *esto*, not *este*",L68#6
Nothing pleased me more than that.,Nada me gustó más que eso.,L68-035,sentence,primary,past-point *gustó* + neuter *eso*,L68#6
so tired (masc),tan cansado,L68-036,sentence,primary,degree + adj,"L68#8, L68#9"
so tired (fem),tan cansada,L68-037,sentence,primary,agree gender,"L68#8, L68#9"
I was so tired. (fem),Estaba tan cansada.,L68-038,sentence,primary,line-past + degree,"L68#8, L68#9"
I don't know how many times I visited him.,No sé cuántas veces lo visité.,L68-042,sentence,primary,*cuántas* (vez is fem),"L68#13, L68#14"
I don't know how many times they visited her.,No sé cuántas veces la visitaron.,L68-043,sentence,primary,,"L68#13, L68#14"
I slept all day.,Dormí todo el día.,L68-045,sentence,primary,*día* masc,L68#11
this woman,esta mujer,L68-047,sentence,extended,,"L68#1, L68#2"
that woman,esa mujer,L68-048,sentence,extended,,L68#2
those women,esas mujeres,L68-049,sentence,extended,,L68#2
How many times did you visit her?,¿Cuántas veces la visitaste?,L68-056,sentence,extended,,L68#13
these women,estas mujeres,L68-060,sentence,extended,,L68#2
I want you to wait.,Quiero que esperes.,L69-013,sentence,primary,literally *I want that you wait*,"L69#9, L69#10"
I want you to wait for him.,Quiero que lo esperes.,L69-014,sentence,primary,object pronoun before mood verb,"L69#9, L69#10"
I want you to wait for her.,Quiero que la esperes.,L69-015,sentence,primary,,"L69#9, L69#10"
Do you want ME to wait for you?,¿Quieres que yo te espere?,L69-017,sentence,primary,add *yo* to disambiguate,L69#11
I don't want you to wait.,No quiero que esperes.,L69-022,sentence,primary,,"L69#9, L69#10"
I don't want you to speak.,No quiero que hables.,L69-023,sentence,primary,,"L69#9, L69#4"
Do you want us to wait?,¿Quieres que esperemos?,L69-025,sentence,primary,-ar → -emos,"L69#7, L69#9"
I want us to eat.,Quiero que comamos.,L69-026,sentence,primary,-er → -amos,"L69#7, L69#9"
what (non-question),lo que,L70-001,transformation,primary,not *qué* — that's the question form,L70#1
what? (question),qué,L70-002,transformation,primary,accent for question,L70#1
about (regarding),sobre,L70-003,transformation,primary,also = *de*,L70#3
a necessity (with article),una necesidad,L70-004,transformation,primary,-ity → -idad · fem,L70#5
to need,necesitar,L70-005,transformation,primary,-ar verb,"L70#5, L70#6"
I need,necesito,L70-006,transformation,primary,,L70#6
I prepare,preparo,L70-007,transformation,primary,-ar verb · I form,L70#6
to lack / to be missing,faltar,L70-008,transformation,primary,noun *falta* = lack,L70#8
lack (noun),falta,L70-009,transformation,primary,from *faltar*,L70#8
it's necessary (idiom),hace falta,L70-010,transformation,primary,literally *it makes lack*,L70#9
very soon,muy pronto,L70-011,transformation,primary,degree + soon,L70#10
she prefers,prefiere,L70-012,transformation,primary,"e → ie split, she-form",L70#12
I prefer,prefiero,L70-013,transformation,primary,e → ie split,L70#12
right here,aquí mismo,L70-014,transformation,primary,emphasis with *mismo*,L70#13
they cook,cocinan,L70-015,transformation,primary,-ar regular they-form,L70#2
I saw what you're doing.,Vi lo que estás haciendo.,L70-022,sentence,primary,non-question *what* → *lo que*,"L70#1, L70#2"
I cooked what they eat.,Yo cociné lo que comen.,L70-023,sentence,primary,,"L70#1, L70#2"
I don't want you to speak about what we spoke about.,No quiero que hables de lo que hablamos.,L70-024,sentence,primary,*de* or *sobre* = about,"L70#3, L70#4"
I don't want you to speak about what we were discussing.,No quiero que hables sobre lo que hablábamos.,L70-025,sentence,primary,line-past makes it clearly past,"L70#3, L70#4"
I need you to prepare it. (formal),Necesito que lo prepare.,L70-026,sentence,primary,*prepare* = mood-tense she/usted form,"L70#6, L70#7"
"I need you to prepare it. (formal, clarified)",Necesito que usted lo prepare.,L70-027,sentence,primary,add *usted* for clarity,L70#6
I need you to prepare what's missing.,Necesito que prepare lo que falta.,L70-028,sentence,primary,*lo que falta* = what is missing,"L70#1, L70#6, L70#8"
It's necessary that we eat soon.,Hace falta que comamos pronto.,L70-029,sentence,primary,idiom + mood tense,"L70#9, L70#11"
lack of respect,falta de respeto,L70-030,sentence,primary,,L70#8
lack of consideration,falta de consideración,L70-031,sentence,primary,,L70#8
I prefer that he stays.,Prefiero que se quede.,L70-032,sentence,primary,reflexive + mood tense,L70#13
I prefer that they stay.,Prefiero que se queden.,L70-033,sentence,primary,,L70#13
I prefer that they don't stay here.,Prefiero que no se queden aquí.,L70-034,sentence,primary,,L70#13
I prefer that you give it to him.,Prefiero que se lo des.,L70-035,sentence,primary,*le → se* before lo,L70#14
I prefer that you give it to her.,Prefiero que se lo des a ella.,L70-036,sentence,primary,clarify with *a ella*,L70#14
I prefer that you give it to him. (clarified),Prefiero que se lo des a él.,L70-037,sentence,primary,,L70#14
I need you to wait.,Necesito que esperes.,L70-038,sentence,primary,,"L70#6, L70#7"
It's necessary that you eat.,Hace falta que comas.,L70-040,sentence,primary,,L70#9
I prefer that we eat soon.,Prefiero que comamos pronto.,L70-042,sentence,primary,,"L70#10, L70#13"
It's necessary that you prepare it.,Hace falta que lo prepares.,L70-045,sentence,extended,,"L70#9, L70#6"
It's a lack of respect.,Es una falta de respeto.,L70-053,sentence,extended,,L70#8
