front,back,id,type,tier,hint,rule_ref
to prefer,preferir,L18-001,transformation,primary,-ir verb · e splits when stressed,L18#2
to live,vivir,L18-003,transformation,primary,-ir · soft b sound · *viva* = long live,"L18#4, L18#5"
here (Spain),aquí,L18-004,transformation,primary,stress on í,L18#9
where,dónde,L18-006,transformation,primary,accent on ó when it's a question word,L18#10
always,siempre,L18-007,transformation,primary,e-split from Italian *sempre*,"L18#14, L19#12"
I live here.,Vivo aquí.,L18-029,sentence,primary,drop subject · soft b,"L18#4, L18#9"
I don't live here.,No vivo aquí.,L18-030,sentence,primary,,"L18#4, L18#9"
They live here.,Viven aquí.,L18-031,sentence,primary,,"L18#4, L18#9"
We live here.,Vivimos aquí.,L18-032,sentence,primary,-ir → -imos,"L18#1, L18#4"
Where do they live?,¿Dónde viven?,L18-033,sentence,primary,,"L18#10, L18#4"
I want to know where they live.,Quiero saber dónde viven.,L18-034,sentence,primary,*saber* spelled with b,"L18#10, L18#6"
But he lives here.,Pero él vive aquí.,L18-035,sentence,primary,*él* for emphasis — but HE does,"L18#11, L18#4"
"I don't live here, but he does.","No vivo aquí, pero él vive aquí.",L18-036,sentence,primary,repeat the verb · *él* carries the contrast,"L18#11, L18#4"
We come tomorrow.,Venimos mañana.,L18-037,sentence,primary,-ir → -imos · present + time = future,"L18#1, L18#3, L20#1, L20#2"
We prefer to eat here.,Preferimos comer aquí.,L18-038,sentence,primary,preferir + to-form,"L18#1, L18#2, L18#9"
We always lose.,Siempre perdemos.,L18-039,sentence,primary,or *perdemos siempre* · flexible order,"L18#14, L18#1"
We don't understand.,No entendemos.,L18-041,sentence,primary,,"L18#1, L18#12"
He doesn't understand.,No entiende.,L18-042,sentence,primary,stressed e splits to ie,L18#12
Why doesn't he understand?,¿Por qué no entiende?,L18-043,sentence,primary,,L18#12
I want to know why he doesn't understand.,Quiero saber por qué no entiende.,L18-044,sentence,primary,,"L18#12, L18#6"
Long live the revolution!,¡Viva la revolución!,L18-045,sentence,primary,,L18#4
We always lose in summer.,Siempre perdemos en verano.,L18-050,sentence,extended,,"L18#14, L18#1, L18#5"
We always speak Spanish here.,Siempre hablamos español aquí.,L18-051,sentence,extended,,"L18#14, L18#1, L18#9"
I prefer to come tomorrow.,Prefiero venir mañana.,L18-052,sentence,extended,,"L18#2, L18#3, L20#2"
Where do you live?,¿Dónde vives?,L18-053,sentence,extended,,"L18#10, L18#4"
We don't live here.,No vivimos aquí.,L18-054,sentence,extended,,"L18#1, L18#4"
She prefers summer.,Prefiere el verano.,L18-055,sentence,extended,,"L18#2, L18#5"
to go,ir,L19-001,transformation,primary,just two letters · doubly weird verb,L19#2
to where? / where to?,¿a dónde?,L19-003,transformation,primary,*a* + *dónde*,L19#4
tonight,esta noche,L19-005,transformation,primary,literally *this night* · *noche* is feminine,"L19#7, L19#8"
the meat,la carne,L19-007,transformation,primary,feminine · mnemonic: carnage,L19#9
and,y,L19-008,transformation,primary,single letter,L19#10
good,bueno,L19-012,transformation,primary,from *bon/bene* · e splits to ue,L19#12
well,bien,L19-013,transformation,primary,stressed e splits to ie · cousin of *bueno*,L19#12
welcome,bienvenido,L19-014,transformation,primary,*bien* + *venido* (come),L19#12
the opinion,la opinión,L19-015,transformation,primary,-ión → feminine,L19#8
the opportunity,la oportunidad,L19-016,transformation,primary,-idad → feminine · single p,L19#8
Where are you going?,¿A dónde vas?,L19-022,sentence,primary,*a* = to · question mark on both sides,"L19#4, L19#3"
I want to go.,Quiero ir.,L19-023,sentence,primary,*ir* plugs into *quiero*,L19#5
I can go.,Puedo ir.,L19-024,sentence,primary,,L19#5
I must go.,Debo ir.,L19-025,sentence,primary,*debo* = must (serious),"L19#5, L19#6"
I have to go.,Tengo que ir.,L19-026,sentence,primary,*tengo* + *que* = have to (lighter),L19#6
I have to go now.,Tengo que ir ahora.,L19-027,sentence,primary,silent h in *ahora*,"L19#6, L19#11"
I have to go tonight.,Tengo que ir esta noche.,L19-028,sentence,primary,,"L19#6, L19#7"
I don't eat meat.,No como carne.,L19-029,sentence,primary,*la carne* — feminine,L19#9
I don't eat meat and I don't drink alcohol.,No como carne y no tomo alcohol.,L19-031,sentence,primary,*y* = and,"L19#10, L19#9, L19#11"
I eat meat and I drink alcohol.,Como carne y tomo alcohol.,L19-032,sentence,primary,,L19#10
We're going to Madrid.,Vamos a Madrid.,L19-033,sentence,primary,*a* = to,"L19#3, L19#4"
They're going now.,Van ahora.,L19-034,sentence,primary,,"L19#3, L19#11"
She's going tonight.,Va esta noche.,L19-035,sentence,primary,,"L19#3, L19#7"
Where are they going?,¿A dónde van?,L19-037,sentence,extended,,"L19#4, L19#3"
She doesn't eat meat.,No come carne.,L19-041,sentence,extended,,L19#9
I want to know your opinion.,Quiero saber tu opinión.,L19-044,sentence,extended,*tu* = your,"L19#8, L18#6"
It's a good opportunity.,Es una buena oportunidad.,L19-045,sentence,extended,fem agreement: *buena*,"L19#8, L19#12"
I don't have to go tonight.,No tengo que ir esta noche.,L19-047,sentence,extended,,"L19#6, L19#7"
to see / to view,ver,L20-001,transformation,primary,-er verb · mostly regular,L20#3
her / it (fem),la,L20-005,transformation,primary,object pronoun · before changed verb,"L20#5, L20#6"
him / it (masc),lo,L20-006,transformation,primary,object pronoun,L20#6
us / ourselves / each other,nos,L20-009,transformation,primary,all three meanings,L20#15
the week,la semana,L20-012,transformation,primary,feminine,L20#11
next week,la semana que viene,L20-013,transformation,primary,literally *the week that comes*,"L20#11, L20#12"
see you,nos vemos,L20-014,transformation,primary,literally *we see each other*,"L20#15, L20#16"
we're going to / let's,vamos a,L20-015,transformation,primary,*vamos* + *a* + to-form,L20#8
I see her later.,La veo más tarde.,L20-022,sentence,primary,*la* before the changed verb,"L20#5, L20#1, L20#2"
