front,back,id,type,tier,hint,rule_ref
I form of hacer,hago,L13-001,conjugation,primary,to do · -go family · silent h,"L13#2, L13#9"
she form of hacer,hace,L13-002,conjugation,primary,to do · -er key vowel /e/ · silent h,L13#2
you (informal) form of hacer,haces,L13-003,conjugation,primary,to do · hace + s,L13#3
they form of hacer,hacen,L13-004,conjugation,primary,to do · hace + n,L13#3
I form of poder,puedo,L13-005,conjugation,primary,to be able · I can / I am able · soft d,L13#5
she form of poder,puede,L13-006,conjugation,primary,to be able · he/she can,L13#5
you (informal) form of poder,puedes,L13-007,conjugation,primary,to be able · puede + s,"L13#3, L13#5"
they form of poder,pueden,L13-008,conjugation,primary,to be able · puede + n,"L13#3, L13#5"
I form of salir,salgo,L13-011,conjugation,primary,-go family · I leave / go out,L13#9
I form of esperar,espero,L13-012,conjugation,primary,to wait/hope · stop the vowel-harmony pull,"L13#11, L13#12"
she form of esperar,espera,L13-013,conjugation,primary,to wait/hope · -ar key vowel /a/,L13#12
you (informal) form of esperar,esperas,L13-032,conjugation,extended,to wait/hope · espera + s,L13#3
they form of esperar,esperan,L13-033,conjugation,extended,to wait/hope · espera + n,L13#3
she form of salir,sale,L13-034,conjugation,extended,to leave · regular -ir form · only *salgo* is odd,L13#9
she form of tener,tiene,L13-035,conjugation,extended,to have · only *tengo* is the -go irreg,L13#9
she form of venir,viene,L13-036,conjugation,extended,to come · only *vengo* is the -go irreg,L13#9
