front,back,id,type,tier,hint,rule_ref
I continue (from seguir),sigo,L78-001,transformation,primary,e→i in I form,L78#1
he continues / she continues / you (formal) continue,sigue,L78-002,transformation,primary,e→i in he form,L78#2
being (the -ing form of ser),siendo,L78-003,transformation,primary,ser → siendo (e→ie + -ndo),L78#5
free (no money),gratis,L78-004,transformation,primary,source of English *gratuitous*,L78#6
imperative,imperativo,L78-005,transformation,primary,-ive → -ivo,L78#7
to start (commence cousin),comenzar,L78-006,transformation,primary,cousin of *commence*,L78#8
to start (more common),empezar,L78-007,transformation,primary,more common than *comenzar*,L78#8
to finish / to terminate,terminar,L78-009,transformation,primary,-ate → -ar,L78#13
selling them (gerund + them),vendiéndolos,L78-011,transformation,primary,gerund + lo glued · accent on stem vowel,L78#15
it's probable that,es probable que,L78-012,transformation,primary,triggers mood after que,"L78#3, L78#4"
it's imperative that,es imperativo que,L78-013,transformation,primary,triggers mood after que,L78#7
it's spectacular that,es espectacular que,L78-014,transformation,primary,triggers mood after que,L78#10
I continue speaking.,Sigo hablando.,L78-015,sentence,primary,seguir + gerund,L78#1
He continues speaking.,Sigue hablando.,L78-016,sentence,primary,seguir + gerund,L78#2
It's probable that he continues speaking.,Es probable que siga hablando.,L78-017,sentence,primary,es probable que → mood + gerund,"L78#3, L78#4"
It's imperative that it continues being free.,Es imperativo que siga siendo gratis.,L78-018,sentence,primary,mood seguir + siendo,"L78#5, L78#6, L78#7"
I continue selling.,Sigo vendiendo.,L78-019,sentence,primary,seguir + gerund,L78#1
She continues selling.,Sigue vendiendo.,L78-020,sentence,primary,seguir + gerund,L78#2
It's spectacular that they begin to speak Spanish.,Es espectacular que comiencen a hablar español.,L78-021,sentence,primary,comenzar a + INF · mood,"L78#9, L78#10"
It's spectacular that they start out speaking Spanish.,Es espectacular que comiencen hablando español.,L78-022,sentence,primary,comenzar + gerund = start out,"L78#11, L78#12"
I start to speak.,Empiezo a hablar.,L78-023,sentence,primary,empezar a + INF,L78#9
I start out speaking.,Empiezo hablando.,L78-024,sentence,primary,empezar + gerund = start out,L78#11
She begins to sell.,Comienza a vender.,L78-025,sentence,primary,comenzar a + INF,L78#9
She starts out selling.,Comienza vendiendo.,L78-026,sentence,primary,comenzar + gerund = start out,L78#11
I finish selling.,Termino de vender.,L78-027,sentence,primary,terminar de + INF,L78#14
I end up selling them.,Termino vendiéndolos.,L78-028,sentence,primary,terminar + gerund = end up,L78#15
She finishes selling.,Termina de vender.,L78-029,sentence,primary,terminar de + INF,L78#14
She ends up selling them.,Termina vendiéndolos.,L78-030,sentence,primary,terminar + gerund = end up,L78#15
when (in future) you guys finish,cuando terminen,L78-031,sentence,primary,cuando + future = mood,L78#17
when (in future) you finish selling,cuando termines de vender,L78-032,sentence,primary,cuando + future · terminar de,"L78#17, L78#14"
when (in future) he ends up selling them,cuando termine vendiéndolos,L78-033,sentence,primary,cuando + future · terminar + gerund,"L78#17, L78#15"
