front,back,id,type,tier,hint,rule_ref
the paradigm,el paradigma,L44-003,transformation,primary,-ma → masc (Greek),L44#2
the diagram,el diagrama,L44-004,transformation,primary,-ma → masc (Greek),L44#2
the outline / scheme,el esquema,L44-005,transformation,primary,e- added: Spanish can't start s+consonant,"L44#2, L44#3"
the planet,el planeta,L44-006,transformation,primary,masc even though -a,L44#4
the planets,los planetas,L44-007,transformation,primary,still masc in plural,L44#4
the hand,la mano,L44-009,transformation,primary,fem despite -o (man- = hand),"L44#9, L44#10"
the hands,las manos,L44-010,transformation,primary,still fem in plural,L44#9
the photo,la foto,L44-011,transformation,primary,short for la fotografía → fem,L44#11
the motorbike,la moto,L44-012,transformation,primary,short for la motocicleta → fem,L44#11
the camera,la cámara,L44-014,transformation,primary,fem -a — accent on cá,L44#19
this car,este auto,L44-015,transformation,primary,este = this (masc),"L44#6, L44#5"
that car,ese auto,L44-016,transformation,primary,drop t from este → ese = that,L44#7
that night,esa noche,L44-018,transformation,primary,esta → esa (drop t),L44#7
these hands,estas manos,L44-019,transformation,primary,fem plural — mano is fem!,"L44#8, L44#9"
those nights,esas noches,L44-020,transformation,primary,esos/esas = those,L44#8
this hand,esta mano,L44-021,transformation,primary,fem — esta (not este) even though -o,"L44#9, L44#6"
to handle / manage / drive,manejar,L44-023,transformation,primary,from mano — handling horses,L44#10
to take,tomar,L44-025,transformation,primary,used for photos: tomar una foto,L44#12
to take (out / a photo),sacar,L44-026,transformation,primary,*sacar una foto* = take a photo,L44#13
I want that car.,Quiero ese auto.,L44-028,sentence,primary,,"L44#7, L44#5"
I don't want that car.,No quiero ese auto.,L44-030,sentence,primary,,L44#7
It's very big.,Es muy grande.,L44-031,sentence,primary,muy + grande,L44#19
Can you give me a hand?,¿Me puedes dar una mano?,L44-033,sentence,primary,una (fem) because mano is fem,"L44#16, L44#9"
Could you give me a hand?,¿Me podrías dar una mano?,L44-034,sentence,primary,podrías = could you (informal),L44#17
They should give me a hand.,Deberían darme una mano.,L44-036,sentence,primary,darme = pronoun on the 'to' form,L44#18
They should give us a hand.,Nos deberían dar una mano.,L44-037,sentence,primary,,L44#18
I manage the problem.,Manejo el problema.,L44-038,sentence,primary,el problema (masc!),"L44#14, L44#2"
I'm taking a photo.,Estoy tomando una foto.,L44-040,sentence,primary,una (fem) — foto is fem,"L44#12, L44#15"
I would like to take a photo.,Me gustaría tomar una foto.,L44-042,sentence,primary,,L44#20
But I don't have my camera.,Pero no tengo mi cámara.,L44-043,sentence,primary,pero = but,L44#19
this problem,este problema,L44-047,transformation,extended,masc — este (not esta),"L44#6, L44#2"
that system,ese sistema,L44-048,transformation,extended,masc — ese (not esa),"L44#7, L44#2"
This problem is very big.,Este problema es muy grande.,L44-049,sentence,extended,este (masc) — problema is masc,"L44#6, L44#2"
I'm taking a photo of the planet.,Estoy tomando una foto del planeta.,L44-050,sentence,extended,de + el → del,"L44#12, L44#4"
I'd like to take a photo tonight.,Me gustaría tomar una foto esta noche.,L44-051,sentence,extended,,"L44#20, L44#6"
Could you give us a hand tonight?,¿Nos podrías dar una mano esta noche?,L44-052,sentence,extended,,"L44#17, L44#6"
"I don't want that car, it's too big.","No quiero ese auto, es muy grande.",L44-053,sentence,extended,,"L44#7, L44#19"
to interest / to be interesting to,interesar,L45-001,transformation,primary,-ar verb · flips like gustar,L45#4
interesting,interesante,L45-002,transformation,primary,-ante adjective,L45#4
to seem,parecer,L45-003,transformation,primary,-er verb! (not -ar),"L45#10, L45#11"
to put,poner,L45-004,transformation,primary,-er verb · also covers -pose,L45#18
salt,sal,L45-007,transformation,primary,feminine (la sal),L45#22
It interests me.,Me interesa.,L45-015,sentence,primary,,"L45#5, L45#4"
Does it interest you?,¿Te interesa?,L45-017,sentence,primary,,L45#6
Why doesn't it interest you?,¿Por qué no te interesa?,L45-019,sentence,primary,"por qué (two words, accent) = why","L45#6, L45#14"
It interests him.,Le interesa.,L45-020,sentence,primary,le (not lo) with gustar-family,"L45#3, L45#5"
