front,back,id,type,tier,hint,rule_ref
"closed (m sg, adjective)",cerrado,L54-001,transformation,primary,-ar verb → -ado · agrees like adj,"L54#1, L54#15"
closed (f sg),cerrada,L54-002,transformation,primary,-ado → -ada for fem,L54#3
closed (m pl),cerrados,L54-003,transformation,primary,agrees like adj · plural -s,L54#3
closed (f pl),cerradas,L54-004,transformation,primary,-ada + s,L54#3
wet (m sg),mojado,L54-005,transformation,primary,-ar → -ado,L54#15
the door,la puerta,L54-007,transformation,primary,feminine,L54#7
the chair,la silla,L54-008,transformation,primary,feminine · double-l = /y/,L54#11
the movie,la película,L54-009,transformation,primary,feminine · stress on -LÍ-,L54#18
the idea,la idea,L54-010,transformation,primary,feminine,L54#17
a person (always fem),una persona,L54-011,transformation,primary,word is fem even for a man,L54#9
It is closed. (the door),Está cerrada.,L54-012,sentence,primary,estar + state · fem agreement,"L54#4, L54#7"
It is closed. (m),Está cerrado.,L54-013,sentence,primary,estar — never ser for state,L54#4
The door is closed.,La puerta está cerrada.,L54-014,sentence,primary,state → estar,"L54#4, L54#7"
I am lost. (f),Estoy perdida.,L54-016,sentence,primary,agrees with fem speaker,"L54#3, L54#4"
They are sold. (houses),Están vendidas.,L54-018,sentence,primary,-er → -ido · fem pl,L54#16
They are sold. (m),Están vendidos.,L54-019,sentence,primary,state → estar · m pl,L54#16
She is a closed person.,Es una persona cerrada.,L54-023,sentence,primary,noun dominates → ser,"L54#8, L54#11"
He is a lost person.,Es una persona perdida.,L54-024,sentence,primary,persona is fem · ser (naming),"L54#8, L54#9"
It is a wet chair.,Es una silla mojada.,L54-025,sentence,primary,naming → ser even with adj,L54#11
The chair is wet.,La silla está mojada.,L54-026,sentence,primary,state → estar,L54#12
lost (m sg),perdido,L54-027,transformation,extended,-er → -ido,L54#15
sold (f sg),vendida,L54-028,transformation,extended,-er → -ido → fem -ida,"L54#15, L54#3"
He is closed to the idea.,Está cerrado a la idea.,L54-030,sentence,extended,cerrado a + thing,L54#17
The doors are closed.,Las puertas están cerradas.,L54-031,sentence,extended,fem pl agreement,"L54#3, L54#4"
The chairs are wet.,Las sillas están mojadas.,L54-032,sentence,extended,state → estar · fem pl,L54#12
I have gotten tired.,Me he cansado.,L54-033,sentence,extended,reflexive + haber · part doesn't agree,"L54#13, L54#2"
I would like to have gone.,Me gustaría haber ido.,L54-034,sentence,extended,haber + part (ir → ido),L54#5
It's a wet door.,Es una puerta mojada.,L54-036,sentence,extended,naming → ser,L54#11
broken (irregular participle of romper),roto,L55-001,transformation,primary,irregular -to ending,L55#10
said / told (irregular participle of decir),dicho,L55-002,transformation,primary,irregular -cho ending,"L55#10, L55#16"
