front,back,id,type,tier,hint,rule_ref
I am.,Yo soy.,L31-006,sentence,primary,pronoun adds emphasis,L31#4
You are. (informal),Tú eres.,L31-007,sentence,primary,,L31#4
He is.,Él es.,L31-008,sentence,primary,,L31#4
You guys are.,Ustedes son.,L31-014,sentence,primary,everyday plural *you* — not formal,"L31#6, L31#4"
you guys / you (plural),ustedes,L31-015,transformation,primary,plural of *usted* · everyday,L31#6
they (feminine),ellas,L31-016,transformation,primary,*ella* pluralized,L31#7
Spanish,español,L31-017,transformation,primary,s+consonant → es-,L31#1
Spain,España,L31-018,transformation,primary,s+consonant → es- · ñ,L31#1
student,estudiante,L31-019,transformation,primary,st- → est- · -ent → -ante,"L31#1, L3#1"
to be (characteristic),ser,L31-025,transformation,primary,"characteristics, not states",L31#3
a (human) being,un ser humano,L31-026,transformation,primary,*ser* as noun = a being,L31#3
It is not possible.,No es posible.,L31-029,sentence,primary,,"L31#4, L2#9, L3#8"
You guys are strict.,Ustedes son estrictos.,L31-034,sentence,primary,,"L31#6, L31#4, L31#1"
What is he like?,¿Cómo es?,L31-035,sentence,primary,characteristic → ser,L31#8
How is he? (doing),¿Cómo está?,L31-036,sentence,primary,state → estar,L31#9
How are you? (formal),¿Cómo está?,L31-038,sentence,primary,*está* also covers *usted*,L31#9
What are they like?,¿Cómo son?,L31-039,sentence,primary,,"L31#8, L31#4"
How are they? (doing),¿Cómo están?,L31-040,sentence,primary,,L31#9
It is not special.,No es especial.,L31-050,sentence,extended,,"L31#4, L2#9, L31#1"
What are you guys like?,¿Cómo son?,L31-053,sentence,extended,*son* covers *ustedes*,"L31#8, L31#6"
from / of,de,L32-001,transformation,primary,"hides in *de-liver*, *de-cipher*",L32#3
free,libre,L32-002,transformation,primary,"v/b swap · ends -e, no gender flip","L32#4, L32#10"
to liberate,liberar,L32-003,transformation,primary,free + -ar,L32#4
boring / bored,aburrido,L32-004,transformation,primary,ser=boring · estar=bored,"L32#1, L32#2"
person,persona,L32-005,transformation,primary,"always feminine, even for men",L32#11
He is boring.,Es aburrido.,L32-007,sentence,primary,ser = characteristic = boring,"L32#1, L32#2"
He is bored.,Está aburrido.,L32-008,sentence,primary,estar = state = bored,"L32#1, L32#2"
She is boring.,Es aburrida.,L32-009,sentence,primary,feminine -a,"L32#1, L32#2"
Where are you from? (informal),¿De dónde eres?,L32-015,sentence,primary,memory anchor for *eres*,"L32#6, L32#7"
Where are you from? (formal),¿De dónde es?,L32-016,sentence,primary,,L32#6
Where are they from?,¿De dónde son?,L32-017,sentence,primary,,L32#6
Where are they? (location),¿Dónde están?,L32-020,sentence,primary,no *de* · state → estar,L32#8
I'm free. (state — from work),Estoy libre.,L32-022,sentence,primary,estar → state,L32#9
