front,back,id,type,tier,hint,rule_ref
to extract,extraer,L84-011,transformation,primary,ex- + traer → -tract pattern,L84#11
to attract,atraer,L84-012,transformation,primary,a- + traer → -tract,L84#11
to contract,contraer,L84-013,transformation,primary,con- + traer → -tract,L84#11
I get distracted,me distraigo,L84-015,transformation,primary,reflexive + -go family,"L84#10, L84#11"
I want you to come.,Quiero que vengas.,L84-026,sentence,primary,quiero que + mood,"L84#16, L84#12"
I want you to bring it.,Quiero que lo traigas.,L84-027,sentence,primary,quiero que + mood · object pronoun before,"L84#16, L84#12"
I don't want you to distract me.,No quiero que me distraigas.,L84-028,sentence,primary,no + quiero que + mood,"L84#16, L84#12, L84#11"
Tell me. (formal),Dígame.,L84-029,sentence,primary,mood + attached pronoun · phone hook,"L84#14, L84#15"
"Come on, ok.","Venga, vale.",L84-030,sentence,primary,fixed expression (Spain),L84#13
Have it. (informal),Tenlo.,L85-010,sentence,primary,drop -go + attach pronoun,"L85#4, L85#2"
Have it. (formal),Téngalo.,L85-011,sentence,primary,mood -ga + attached pronoun + accent,"L85#1, L85#2"
Tell me. (informal),Dime.,L85-012,sentence,primary,drop -go + me,"L85#4, L85#5"
Put it here. (formal),Póngalo aquí.,L85-013,sentence,primary,mood -ga + attached pronoun + accent,"L85#1, L85#2"
Don't put it here. (formal),No lo ponga aquí.,L85-014,sentence,primary,negative cmd → mood + pronoun before,"L85#1, L85#2"
Leave. (informal),Sal.,L85-016,sentence,primary,drop -go off I-form,L85#4
Tell me when you come.,Dime cuando vengas.,L85-018,sentence,primary,cuando + future → mood,"L85#5, L85#7"
Listen to me. (informal),Óyeme.,L85-030,sentence,extended,oír shortcut: she-form óye + me,L85#3
Bring it. (informal),Tráelo.,L85-031,sentence,extended,traer takes the regular shortcut,L85#3
Tell me when you leave.,Dime cuando salgas.,L85-033,sentence,extended,cuando + future → mood,"L85#5, L85#7"
"Come on, come on.","Venga, venga.",L85-034,sentence,extended,fixed expression,L85#6
I will put it here.,Lo pondré aquí.,L86-029,sentence,primary,contraction stem + -é,L86#6
I would put it here.,Lo pondría aquí.,L86-030,sentence,primary,contraction stem + -ía,"L86#6, L86#8"
We will put it here.,Lo pondremos aquí.,L86-031,sentence,primary,contraction stem + -emos,L86#6
Will you go out tonight?,¿Saldrás esta noche?,L86-033,sentence,primary,contraction stem + -ás,L86#7
Would you go out tonight?,¿Saldrías esta noche?,L86-034,sentence,primary,contraction stem + -ías,"L86#7, L86#8"
Are you going out tonight?,¿Sales esta noche?,L86-035,sentence,primary,present-as-future with context,L86#12
I'll tell you later.,Te diré más tarde.,L86-036,sentence,primary,extra-irreg future + IO,L86#10
I'll tell you later. (present),Te digo más tarde.,L86-037,sentence,primary,present-as-future with context,L86#12
"We would do it, but we're busy now.","Lo haríamos, pero estamos ocupados ahora.",L86-038,sentence,primary,would + contrast,"L86#10, L86#8"
"We would come later, but no time.","Vendríamos más tarde, pero no tenemos tiempo.",L86-039,sentence,primary,would + contrast,"L86#5, L86#8"
I will have it tomorrow.,Lo tendré mañana.,L86-043,sentence,extended,contraction stem + -é,L86#4
I will come later.,Vendré más tarde.,L86-044,sentence,extended,contraction stem + -é,L86#5
She will tell me later.,Me dirá más tarde.,L86-045,sentence,extended,extra-irreg + IO,L86#10
I will be able tomorrow.,Podré mañana.,L86-047,sentence,extended,dropped-e stem,L86#13
We will be able later.,Podremos más tarde.,L86-048,sentence,extended,dropped-e stem + -emos,L86#13
I will bring it tomorrow.,Lo traeré mañana.,L86-049,sentence,extended,traer is regular (no contraction),L86#9
Where were you? (point),¿Dónde estuviste?,L87-027,sentence,primary,estuv- + -iste,L87#8
Where were you all? (point),¿Dónde estuvieron?,L87-028,sentence,primary,estuv- + -ieron,L87#8
Where were you? (line),¿Dónde estabas?,L87-029,sentence,primary,line-past avoidance trick,L87#9
I wasn't there. (point),No estuve.,L87-030,sentence,primary,estuv- + -e,L87#8
I had to go. (point),Tuve que ir.,L87-031,sentence,primary,tuve que = had to (specific moment),"L87#7, L87#9"
I had to go. (line),Tenía que ir.,L87-032,sentence,primary,line-past · regular fallback,L87#9
I had a problem. (point),Tuve un problema.,L87-038,sentence,extended,tuv- + -e,L87#7
She told me yesterday.,Me dijo ayer.,L87-039,sentence,extended,dij- + -o,L87#11
I told you yesterday.,Te dije ayer.,L87-040,sentence,extended,dij- + -e,L87#11
I couldn't do it. (point),No pude hacerlo.,L87-041,sentence,extended,pud- + -e · 'wasn't able',L87#5
He used to go there.,Iba allí.,L87-042,sentence,extended,line-past of ir,L87#3
We used to see her.,La veíamos.,L87-043,sentence,extended,line-past of ver + DO pronoun,L87#4
It was different.,Era diferente.,L87-044,sentence,extended,line-past of ser,L87#2
We were friends.,Éramos amigos.,L87-045,sentence,extended,line-past of ser · accent on first e,L87#2
