front,back,id,type,tier,hint,rule_ref
past-point I form of poner,puse,L88-001,conjugation,primary,put (past) · base pus- · -e no accent,L88#1
past-point you form of poner,pusiste,L88-002,conjugation,primary,put (past) · base pus- · -iste,L88#1
past-point she form of poner,puso,L88-003,conjugation,primary,put (past) · base pus- · -o no accent,L88#1
past-point they form of poner,pusieron,L88-004,conjugation,primary,put (past) · base pus- · -ieron,L88#1
past-point I form of hacer,hice,L88-005,conjugation,primary,do (past) · base hic- · -e no accent,L88#3
past-point she form of hacer,hizo,L88-006,conjugation,primary,do (past) · c → z before o (keeps soft sound),L88#3
past-point they form of hacer,hicieron,L88-007,conjugation,primary,do (past) · base hic- · -ieron,L88#3
past-point I form of venir,vine,L88-008,conjugation,primary,come (past) · base vin- · -e no accent,L88#4
past-point she form of venir,vino,L88-009,conjugation,primary,come (past) · also = wine (pun),L88#4
past-point they form of venir,vinieron,L88-010,conjugation,primary,come (past) · base vin- · -ieron,L88#4
past-point I form of traer,traje,L88-011,conjugation,primary,bring (past) · base traj- · also = suit,L88#5
past-point she form of traer,trajo,L88-012,conjugation,primary,bring (past) · base traj- · -o no accent,L88#5
past-point they form of traer,trajeron,L88-013,conjugation,primary,bring (past) · dropped i — would be trajieron,"L88#5, L88#8"
past-point I form of ser,fui,L88-014,conjugation,primary,"be (past) · same form as ir · ""I was"" or ""I went","L88#6, L88#7"
past-point I form of ir,fui,L88-015,conjugation,primary,go (past) · same form as ser · context decides,"L88#6, L88#7"
past-point she form of ir,fue,L88-016,conjugation,primary,"go (past) · same as ser · ""she was/went","L88#6, L88#7"
past-point we form of ir,fuimos,L88-017,conjugation,primary,go (past) · same as ser,"L88#6, L88#7"
past-point they form of ser,fueron,L88-018,conjugation,primary,dropped i — would be fuieron,"L88#7, L88#8"
past-point they form of decir,dijeron,L88-019,conjugation,primary,say (past) · dropped i — would be dijieron,L88#8
past mood I form of ser/ir,fuera,L88-020,conjugation,primary,from fueron · drop -on · add -a,L88#9
past mood we form of ser/ir,fuéramos,L88-021,conjugation,primary,from fueron · accent on stem vowel,L88#9
past mood they form of ser/ir,fueran,L88-022,conjugation,primary,from fueron · drop -on · add -an,L88#9
past mood I form of tener,tuviera,L88-023,conjugation,primary,have (past subj.) · from tuvieron · drop -on · add -a,L88#9
past mood we form of tener,tuviéramos,L88-024,conjugation,primary,have (past subj.) · from tuvieron · accent on stem,L88#9
past mood they form of tener,tuvieran,L88-025,conjugation,primary,have (past subj.) · from tuvieron · drop -on · add -an,L88#9
past mood I form of hacer,hiciera,L88-026,conjugation,primary,do (past subj.) · from hicieron · drop -on · add -a,L88#9
past mood they form of hacer,hicieran,L88-027,conjugation,primary,do (past subj.) · from hicieron · drop -on · add -an,L88#9
past mood I form of traer,trajera,L88-028,conjugation,primary,bring (past subj.) · from trajeron · drop -on · add -a,L88#9
past mood I form of decir,dijera,L88-029,conjugation,primary,say (past subj.) · from dijeron · drop -on · add -a,L88#9
past-point you form of venir,viniste,L88-050,conjugation,extended,come (past) · base vin- · -iste,L88#4
past-point we form of poner,pusimos,L88-051,conjugation,extended,put (past) · base pus- · -imos,L88#1
past-point we form of hacer,hicimos,L88-052,conjugation,extended,do (past) · base hic- · -imos,L88#3
past-point we form of traer,trajimos,L88-053,conjugation,extended,bring (past) · base traj- · -imos,L88#5
past mood I form of poner,pusiera,L88-054,conjugation,extended,put (past subj.) · from pusieron · drop -on · add -a,L88#9
past mood I form of venir,viniera,L88-055,conjugation,extended,come (past subj.) · from vinieron · drop -on · add -a,L88#9
past mood they form of decir,dijeran,L88-056,conjugation,extended,say (past subj.) · from dijeron · drop -on · add -an,L88#9
I would tell you (using contar),te contaría,L88-057,conjugation,extended,regular alternative to diría,L88#11
you can (vos form of poder),podés,L90-005,transformation,primary,stress on end · no e→ie split,L90#5
you want (vos form of querer),querés,L90-006,transformation,primary,stress on end · no e→ie split,L90#5
