front,back,id,type,tier,hint,rule_ref
to fall in love (with oneself),enamorarse,L40-001,transformation,primary,enamorar + se · -se hooks on,L40#2
I fall in love,me enamoro,L40-002,transformation,primary,me + enamoro · regular -ar,L40#2
I think,pienso,L40-004,transformation,primary,e → ie split when stressed,L40#5
to dream,soñar,L40-006,transformation,primary,ñ = n-y,L40#7
I dream,sueño,L40-007,transformation,primary,o → ue split when stressed,L40#8
with me,conmigo,L40-009,transformation,primary,con + mi + -go · one word,L40#12
with you (informal),contigo,L40-010,transformation,primary,con + ti + -go · one word,L40#12
I fall in love with you.,Me enamoro de ti.,L40-011,sentence,primary,Spanish: fall in love OF,"L40#1, L40#3"
I fall in love with him.,Me enamoro de él.,L40-012,sentence,primary,de + él,"L40#1, L40#3"
I'm falling in love. (Me…),Me estoy enamorando.,L40-013,sentence,primary,estar + -ando · me up front,L40#4
I'm thinking about you.,Pienso en ti.,L40-014,sentence,primary,"think IN, not about","L40#5, L40#6"
We think about her.,Pensamos en ella.,L40-015,sentence,primary,en + ella,"L40#6, L40#9"
I dream about her.,Sueño con ella.,L40-016,sentence,primary,dream WITH,L40#10
She dreams about him.,Sueña con él.,L40-017,sentence,primary,soñar con · ñ,"L40#7, L40#10"
I dream about you.,Sueño contigo.,L40-018,sentence,primary,con + ti → contigo,"L40#10, L40#12"
Do you want to come with me?,¿Quieres venir conmigo?,L40-019,sentence,primary,,"L40#13, L40#12"
Don't you want to come with me?,¿No quieres venir conmigo?,L40-020,sentence,primary,no + question intonation,"L40#14, L40#12"
Why don't you want to come with me?,¿Por qué no quieres venir conmigo?,L40-021,sentence,primary,,"L40#15, L40#12"
I'm going with you.,Voy contigo.,L40-022,sentence,primary,voy ~ voyage,"L40#18, L40#12"
You have to come with me.,Tienes que venir conmigo.,L40-023,sentence,primary,,"L40#16, L40#12"
Can you come with me?,¿Puedes venir conmigo?,L40-024,sentence,primary,,"L40#17, L40#12"
It depends.,Depende.,L40-025,sentence,primary,"-er verb, check before changing",L40#19
It depends on her.,Depende de ella.,L40-026,sentence,primary,"depends OF, not on",L40#20
It depends on if she wants to go.,Depende de si quiere ir.,L40-029,sentence,primary,depende de + si,"L40#20, L40#21"
morning / tomorrow,mañana,L40-031,transformation,extended,ñ — only Spanish-exclusive letter,L40#7
she dreams,sueña,L40-032,transformation,extended,o → ue split,L40#8
you (informal) dream,sueñas,L40-033,transformation,extended,o → ue split when stressed,L40#8
I'm falling in love. (Estoy…),Estoy enamorándome.,L40-035,sentence,extended,-ando + me · alternate spot,L40#4
We think about him.,Pensamos en él.,L40-036,sentence,extended,,"L40#6, L40#9"
We dream about you.,Soñamos contigo.,L40-037,sentence,extended,soñar con + ti → contigo,"L40#10, L40#12"
From me / from you.,De mí / de ti.,L40-038,sentence,extended,after-preposition forms,L40#11
It doesn't depend on me.,No depende de mí.,L40-039,sentence,extended,no + depende de · mí accent,"L40#20, L40#11"
"Yes, I want to go with you.","Sí, quiero ir contigo.",L40-040,sentence,extended,sí (accent) = yes,"L40#21, L40#12"
Why don't you come with me?,¿Por qué no vienes conmigo?,L40-041,sentence,extended,,"L40#15, L40#13, L40#12"
I think about him constantly.,Pienso en él constantemente.,L40-042,sentence,extended,,L40#6
