front,back,id,type,tier,hint,rule_ref
mood you-form of contar,cuentes,L71-007,conjugation,primary,count/tell (subj.) · o-split · -ar takes -es,L71#2
mood they-form of contar,cuenten,L71-008,conjugation,primary,count/tell (subj.) · o-split · -ar takes -en,L71#2
mood I-form of ver,vea,L71-009,conjugation,primary,see (subj.) · built from veo to dodge clash with *van*,L71#6
mood you-form of ver,veas,L71-010,conjugation,primary,see (subj.) · built from veo · keep the e,L71#6
mood she-form of ver,vea,L71-011,conjugation,primary,see (subj.) · same as I-form,L71#6
mood they-form of ver,vean,L71-012,conjugation,primary,see (subj.) · built from veo not ven,L71#6
mood you-form of comprender,comprendas,L71-013,conjugation,primary,understand (subj.) · -er takes -as,L71#10
mood she-form of comprender,comprenda,L71-014,conjugation,primary,understand (subj.) · -er takes -a,L71#10
mood she-form of visitar,visite,L71-015,conjugation,primary,visit (subj.) · -ar takes -e,L71#14
mood you-form of comprar,compres,L72-003,conjugation,primary,buy (subj.) · -ar takes -es,L72#2
mood you-form of vender,vendas,L72-004,conjugation,primary,sell (subj.) · -er takes -as,L72#17
mood we-form of terminar,terminemos,L73-001,conjugation,primary,finish (subj.) · -ar → -emos,L73#2
mood they-form of terminar,terminen,L73-004,conjugation,primary,finish (subj.) · -ar takes -en,L73#9
mood I-form of ir,vaya,L73-006,conjugation,primary,go (subj.) · irregular root v-a-y-a,L73#12
mood you-form of ir,vayas,L73-007,conjugation,primary,go (subj.) · vaya + -s,L73#12
mood she-form of ir,vaya,L73-008,conjugation,primary,go (subj.) · same as I-form,L73#12
mood we-form of ir,vayamos,L73-009,conjugation,primary,go (subj.) · vaya + -mos,L73#12
mood they-form of ir,vayan,L73-010,conjugation,primary,go (subj.) · vaya + -n,L73#12
mood we-form of esperar,esperemos,L73-011,conjugation,primary,wait/hope (subj.) · -ar → -emos for *let's*,L73#2
mood we-form of hablar,hablemos,L73-012,conjugation,primary,speak (subj.) · -ar → -emos,L73#2
mood we-form of comer,comamos,L73-013,conjugation,primary,eat (subj.) · -er → -amos,L73#11
