front,back,id,type,tier,hint,rule_ref
suit (clothing),traje,L88-033,transformation,primary,"same form as ""I brought""",L88#5
wine,vino,L88-034,transformation,primary,"same form as ""he came""",L88#4
I wanted that... (+ past mood),quería que,L88-035,transformation,primary,line-past + que · triggers past mood,L88#13
Where did you put it?,¿Dónde lo pusiste?,L88-036,sentence,primary,pus- base · object pronoun before verb,L88#1
I did it.,Lo hice.,L88-037,sentence,primary,hic- · -e no accent,L88#3
She did it.,Lo hizo.,L88-038,sentence,primary,c → z before o,L88#3
They did it.,Lo hicieron.,L88-039,sentence,primary,hic- + -ieron,L88#3
He came with wine.,Vino con vino.,L88-040,sentence,primary,same word — verb + noun (pun),L88#4
I brought a suit.,Traje un traje.,L88-041,sentence,primary,verb + noun · same form,L88#5
I didn't go.,No fui.,L88-042,sentence,primary,"also ""I wasn't"" · context decides","L88#6, L88#7"
He didn't go.,No fue.,L88-043,sentence,primary,"also ""he wasn't""","L88#6, L88#7"
They didn't go.,No fueron.,L88-044,sentence,primary,"dropped i · also ""they weren't""","L88#7, L88#8"
If I were you.,Si yo fuera tú.,L88-045,sentence,primary,si + past mood · hypothetical,L88#10
If I were you (formal).,Si fuera usted.,L88-046,sentence,primary,si + past mood · drop subject,L88#10
"If I had it, I would tell you.","Si lo tuviera, te lo contaría.",L88-047,sentence,primary,"si + past mood, then conditional","L88#11, L88#12"
I wanted them to do it.,Quería que lo hicieran.,L88-048,sentence,primary,quería que + past mood,L88#13
I wanted us to do it.,Quería que lo hiciéramos.,L88-049,sentence,primary,quería que + past mood (we form),L88#13
They came late.,Vinieron tarde.,L88-068,sentence,primary,vin- · -ieron,L88#4
He came with wine and a suit.,Vino con vino y un traje.,L88-058,sentence,extended,triple pun · same words different meanings,"L88#4, L88#5"
"If you were me, what would you do?","Si fueras yo, ¿qué harías?",L88-059,sentence,extended,si + past mood · then conditional,L88#10
I wanted you to come.,Quería que vinieras.,L88-060,sentence,extended,quería que + past mood (you form),L88#13
We brought everything.,Trajimos todo.,L88-064,sentence,extended,traj- · -imos,L88#5
They put it on the table.,Lo pusieron en la mesa.,L88-065,sentence,extended,pus- · -ieron,L88#1
He didn't bring anything.,No trajo nada.,L88-066,sentence,extended,traj- · -o · double negative ok,L88#5
She said it yesterday.,Lo dijo ayer.,L88-067,sentence,extended,dij- · -o no accent,L88#8
too / too much / too many,demasiado,L89-001,transformation,primary,"de + más + -iado · ""of more""",L89#2
"extra / spare (""of more"")",de más,L89-002,transformation,primary,"literally ""of more""",L89#2
aggressive (m.),agresivo,L89-003,transformation,primary,-ive → -ivo · single g,L89#3
