front,back,id,type,tier,hint,rule_ref
account,cuenta,L37-008,transformation,primary,as in *darse cuenta* = realize,L37#10
the kitchen,la cocina,L37-010,transformation,primary,,L37#20
I see,veo,L37-011,transformation,primary,"irregular — *veo*, not *vo*",L37#19
I give them.,Los doy.,L37-013,sentence,primary,"things, plural",L37#3
I see it.,Lo veo.,L37-014,sentence,primary,,"L37#3, L37#19"
He's cooking them.,Los cocina.,L37-017,sentence,primary,things — direct,"L37#16, L37#20"
Will they give it to me?,¿Me lo darán?,L37-020,sentence,primary,person *me* + thing *lo*,"L37#4, L37#1"
They will give it to you.,Te lo darán.,L37-021,sentence,primary,,"L37#4, L37#1, L37#2"
They will give it to us.,Nos lo darán.,L37-022,sentence,primary,,"L37#4, L37#1, L37#2"
They won't give it to us.,No nos lo darán.,L37-023,sentence,primary,*no* in front,"L37#4, L37#1"
Will they give it (fem) to me?,¿Me la darán?,L37-024,sentence,extended,thing is feminine → *la*,"L37#5, L37#4"
He's cooking them (fem) for us.,Nos las cocina.,L37-025,sentence,primary,drop *algo* — *las* says it,"L37#17, L37#20"
They will give you something.,Te darán algo.,L37-026,sentence,primary,,"L37#2, L37#7, L37#8"
He's cooking me something.,Me cocina algo.,L37-027,sentence,primary,*me* covers me / for me,"L37#15, L37#7"
I give them something.,Les doy algo.,L37-028,sentence,primary,*les* = to them (indirect),"L37#11, L37#12, L37#7"
I have spoken to him.,Le he hablado.,L37-029,sentence,primary,*le* = to him/her (indirect),"L37#11, L37#18"
We have spoken to her.,Le hemos hablado.,L37-030,sentence,primary,,"L37#11, L37#18"
They have spoken about it.,Lo han hablado.,L37-035,sentence,extended,*lo* — *it* is the thing (direct),"L37#14, L37#18"
I realize.,Me doy cuenta.,L37-036,sentence,primary,lit. *I give myself account*,"L37#10, L37#9"
Do you realize?,¿Te das cuenta?,L37-037,sentence,primary,also: *do you know what I mean?*,L37#10
We realize.,Nos damos cuenta.,L37-038,sentence,primary,,L37#10
I give myself.,Me doy.,L37-039,sentence,extended,*me* covers myself (self-meaning),L37#9
We see her.,La vemos.,L37-042,sentence,extended,,"L37#5, L37#19"
They see them (masc).,Los ven.,L37-043,sentence,extended,,"L37#3, L37#19"
He's cooking the tarts.,Cocina las tartas.,L37-045,sentence,extended,*las tartas* = the tarts,L37#20
He's cooking them for me.,Me las cocina.,L37-046,sentence,extended,tarts (fem) — *me* + *las*,"L37#17, L37#15"
We will give you something.,Te daremos algo.,L37-048,sentence,extended,,"L37#1, L37#2, L37#7"
I don't realize.,No me doy cuenta.,L37-049,sentence,extended,,L37#10
I (subject pronoun),yo,L38-001,transformation,primary,,L38#12
we (masc),nosotros,L38-005,transformation,primary,,L38#12
we (all-female),nosotras,L38-006,transformation,primary,,L38#12
himself / herself / themselves,se,L38-008,transformation,primary,start of *self*,L38#3
I speak to myself.,Me hablo.,L38-009,sentence,primary,*me* already carries *myself*,"L38#2, L38#4"
He speaks to himself.,Se habla.,L38-010,sentence,primary,lo→se for self-meaning,"L38#3, L38#5"
They speak to themselves.,Se hablan.,L38-011,sentence,primary,stress on HA-blan,"L38#3, L38#5, L38#8"
We speak to each other.,Nos hablamos.,L38-013,sentence,primary,*nos* doubles as *each other*,L38#6
She speaks to herself.,Ella se habla.,L38-014,sentence,primary,add pronoun to clarify,"L38#7, L38#3"
to stay (oneself),quedarse,L38-015,transformation,primary,dictionary form · self attached,"L38#16, L38#17"
You stay.,Te quedas.,L38-017,sentence,primary,,L38#9
He stays.,Se queda.,L38-018,sentence,primary,,"L38#9, L38#3"
We stay.,Nos quedamos.,L38-019,sentence,primary,,L38#9
Are you staying?,¿Te quedas?,L38-021,sentence,primary,intonation makes it a question,L38#10
Aren't you staying?,¿No te quedas?,L38-022,sentence,primary,*no* before,L38#11
to want,querer,L38-023,transformation,primary,/e/ splits when stressed → quiero,L38#13
He wants to stay.,Quiere quedarse.,L38-028,sentence,primary,*se* — most general self form,"L38#14, L38#15, L38#3"
