front,back,id,type,tier,hint,rule_ref
I form of elegir,elijo,L74-003,conjugation,primary,to choose · e→i stressed · g→j before o,"L74#2, L74#3"
she form of elegir,elige,L74-005,conjugation,primary,to choose · e→i stressed,L74#2
we form of elegir,elegimos,L74-006,conjugation,primary,to choose · stress shifts off e · stays as e,L74#2
they form of elegir,eligen,L74-007,conjugation,primary,to choose · e→i stressed,L74#2
I form of volver,vuelvo,L74-013,conjugation,primary,to return · o→ue stressed,L74#11
she form of volver,vuelve,L74-015,conjugation,primary,to return · o→ue stressed,L74#11
we form of volver,volvemos,L74-016,conjugation,primary,to return · stress shifts off o · stays as o,L74#11
they form of volver,vuelven,L74-017,conjugation,primary,to return · o→ue stressed,L74#11
mood I form of volver,vuelva,L74-018,conjugation,primary,return (subj.) · o→ue keeps splitting · -er → -a endings,L74#12
mood we form of volver,volvamos,L74-020,conjugation,primary,return (subj.) · stress off o · mood -amos,L74#12
mood they form of volver,vuelvan,L74-021,conjugation,primary,return (subj.) · o→ue · mood -an,L74#12
I form of seguir,sigo,L75-010,conjugation,primary,to follow · e→i · gu→g before o,"L75#12, L75#13"
we form of seguir,seguimos,L75-013,conjugation,primary,to follow · stress shifts · e stays,L75#12
they form of seguir,siguen,L75-014,conjugation,primary,to follow · e→i stressed,L75#12
I form of conseguir,consigo,L75-016,conjugation,primary,to get / manage to · same e→i · gu→g,L75#14
I form of perseguir,persigo,L75-018,conjugation,primary,to chase · e→i · gu→g,L75#14
mood I form of ser,sea,L75-020,conjugation,primary,be (subj.) · irregular root s-e-a,L75#16
mood we form of ser,seamos,L75-022,conjugation,primary,be (subj.) · sea + mos,L75#16
mood they form of ser,sean,L75-023,conjugation,primary,be (subj.) · sea + n,L75#16
pa (casual short of para),pa,L74-049,transformation,extended,dialect drop,L74#14
How incredible that he came!,¡Qué increíble que viniera!,L77-030,sentence,extended,qué+adj+que → mood (past),"L77#11, L77#12"
How heavy that they say that!,¡Qué fuerte que digan eso!,L77-037,sentence,extended,qué+adj+que → mood decir,"L77#9, L77#11"
