front,back,id,type,tier,hint,rule_ref
I,yo,L14-001,transformation,primary,for emphasis · verb already carries the subject,L14#7
he,él,L14-002,transformation,primary,accent distinguishes from *el* (the),L14#4
she,ella,L14-003,transformation,primary,ll = /yuh/ → 'ey-yah',L14#4
I know it,lo sé,L14-005,transformation,primary,*sé* alone is too short — pair with *lo*,L14#1
I don't know,no sé,L14-006,transformation,primary,negation in front,L14#2
to compose,componer,L14-011,transformation,primary,-pose → -poner,L14#13
to suppose,suponer,L14-012,transformation,primary,-pose → -poner,L14#13
I want to eat.,Quiero comer.,L14-013,sentence,primary,spine: quiero + 'to' form,L14#19
I have to eat.,Tengo que comer.,L14-015,sentence,primary,spine: tengo que + 'to' form,"L14#12, L14#19"
I can eat.,Puedo comer.,L14-016,sentence,primary,spine: puedo · power to do,L14#19
I must eat.,Debo comer.,L14-017,sentence,primary,spine: debo · more serious than tengo que,"L14#18, L14#19"
I have to do it.,Tengo que hacerlo.,L14-018,sentence,primary,or: *lo tengo que hacer*,L14#12
I must see her.,Debo verla.,L14-019,sentence,primary,or: *la debo ver*,L14#18
She sees.,Ella ve.,L14-021,sentence,primary,*ella* for emphasis · ll = /yuh/,L14#4
I don't know what he wants.,No sé qué quiere.,L14-022,sentence,primary,verb already carries 'he',"L14#2, L14#3"
I don't know what HE wants.,No sé qué quiere él.,L14-023,sentence,primary,add *él* for emphasis,"L14#3, L14#5"
"I don't want to invite him, but she does.","No quiero invitarlo, pero ella sí.",L14-024,sentence,primary,*sí* does the work of 'she does',L14#6
I'm going out to eat.,Salgo a comer.,L14-025,sentence,primary,*a* before next verb with motion,"L14#8, L14#9"
I suppose so.,Supongo que sí.,L14-026,sentence,primary,literally 'I suppose that yes',"L14#13, L14#14"
When are you coming?,¿Cuándo vienes?,L14-027,sentence,primary,one word does it all,"L14#16, L14#17"
I want to know what he has.,Quiero saber qué tiene.,L14-028,sentence,primary,*tiene* covers he/she/you-formal,"L14#11, L14#19"
to oppose,oponer,L14-029,transformation,extended,-pose → -poner,L14#13
"I, I don't want to invite him, but she does.","Yo no quiero invitarlo, pero ella sí.",L14-034,sentence,extended,*yo* up front = emphasis,"L14#7, L14#6"
I don't know what SHE wants.,No sé qué quiere ella.,L14-035,sentence,extended,*ella* trailing for emphasis,"L14#3, L14#5"
I have to see her.,La tengo que ver.,L14-036,sentence,extended,alternate to *tengo que verla*,L14#12
I get it. (I obtain it.),Lo obtengo.,L14-037,sentence,extended,obtener · -tain family · -go,L14#10
I'm going to try to eat later.,Voy a intentar comer más tarde.,L14-038,sentence,extended,"*intentar* is a verb, not 'intention'","L14#19, L14#20"
to think,pensar,L15-009,transformation,primary,cf. pensive · go BACK to *pensar* before changing,"L15#9, L15#10"
to understand (entender…),entender,L15-010,transformation,primary,more common than *comprender*,"L15#13, L15#14"
to lose,perder,L15-011,transformation,primary,"cf. perish, perishable",L15#15
time,tiempo,L15-012,transformation,primary,tempo → *tiempo* · e→ie · also = weather,L15#8
concert,concierto,L15-013,transformation,primary,concert → *concierto* · e→ie,L15#8
to pass / to happen,pasar,L15-014,transformation,primary,stays · two senses,L15#1
What's happening?,¿Qué pasa?,L15-015,sentence,primary,stress on *pa-* · present,"L15#1, L15#2"
I want to know what's going on.,Quiero saber qué pasa.,L15-016,sentence,primary,*qué pasa* = what's going on,L15#1
What do you want?,¿Qué quieres?,L15-017,sentence,primary,*quieres* = you (informal),L15#5
They want to eat.,Quieren comer.,L15-018,sentence,primary,*quieren* + 'to' form,L15#5
