front,back,id,type,tier,hint,rule_ref
"for (destined for, in order to)",para,L50-001,transformation,primary,"para → destination, recipient, purpose","L50#1, L50#2"
"for (because of, exchange, period)",por,L50-002,transformation,primary,"por → cause, swap, duration","L50#1, L50#7, L50#11"
for me,para mí,L50-003,transformation,primary,mí (with accent) after prep,"L50#2, L50#3"
for you (informal),para ti,L50-004,transformation,primary,ti (no accent) after prep,"L50#2, L50#3"
from me,de mí,L50-007,transformation,primary,"after any prep: mí, ti",L50#3
Why?,¿por qué?,L50-009,transformation,primary,literally 'because of what',L50#7
reason,razón,L50-011,transformation,primary,feminine · /ra-SÓN/ (/ra-THÓN/ in Spain),L50#8
this reason,esta razón,L50-012,transformation,primary,razón is feminine → esta,L50#8
the day,el día,L50-016,transformation,primary,masculine despite -a · 'light' root,L50#12
every day,todos los días,L50-018,transformation,primary,"plural todos, not todo",L50#13
I stay,me quedo,L50-019,transformation,primary,reflexive · -o = I,L50#14
I will stay,me quedaré,L50-020,transformation,primary,future = full 'to' form + -é,"L50#14, L50#15"
I would stay,me quedaría,L50-021,transformation,primary,would = full 'to' form + -ía,"L50#16, L50#17"
I would like,me gustaría,L50-022,transformation,primary,hook for 'would' · 'it would please me',L50#16
but I have to work,pero tengo que trabajar,L50-023,transformation,primary,trabajar: jar = /har/,L50#17
Thanks for coming.,Gracias por venir.,L50-024,sentence,primary,gracias por + 'to' form,"L50#1, L50#7"
This one is for you.,Este es para ti.,L50-025,sentence,primary,destined for → para,"L50#2, L50#6"
These are for you.,Estos son para ti.,L50-026,sentence,primary,plural masc,"L50#2, L50#6"
Why? Because I don't want to.,¿Por qué? Porque no quiero.,L50-027,sentence,primary,two words vs one,L50#7
"For this reason, I don't want to go.","Por esta razón, no quiero ir.",L50-028,sentence,primary,por = because of,"L50#7, L50#8"
I'm buying it for you.,Lo compro para ti.,L50-029,sentence,primary,destined for you,"L50#2, L50#9"
I'm buying it because of you.,Lo compro por ti.,L50-030,sentence,primary,your influence → por,"L50#7, L50#9"
I'm staying for three days.,Me quedo por tres días.,L50-032,sentence,primary,duration → por,"L50#11, L50#12"
I will stay for three days.,Me quedaré por tres días.,L50-033,sentence,primary,future -é,"L50#11, L50#14"
I would stay for three days.,Me quedaría por tres días.,L50-034,sentence,primary,would -ía,"L50#11, L50#16"
"I would stay three days, but I have to work.","Me quedaría tres días, pero tengo que trabajar.",L50-035,sentence,primary,would + but-clause,"L50#16, L50#17"
I'm there for you.,Estoy para ti.,L51-001,transformation,primary,estar already implies location,L51#1
Are you (there)?,¿Estás?,L51-002,transformation,primary,no 'there' word needed,L51#2
Is Juan there?,¿Está Juan?,L51-003,transformation,primary,estar covers 'there',L51#2
I'm here because of you.,Estoy por ti.,L51-004,transformation,primary,por = because of,L51#3
I have come because of you.,He venido por ti.,L51-005,transformation,primary,never porque de,L51#4
that one (masc),ese,L51-006,transformation,primary,drop t of este → ese,L51#6
"to change, to exchange",cambiar,L51-009,transformation,primary,-ar verb,L51#5
I would change this one for that one.,Cambiaría este por ese.,L51-010,sentence,primary,exchange → por,"L51#5, L51#6"
Would you change these for those? (fem),¿Cambiarías estas por esas?,L51-011,sentence,primary,fem plural match,"L51#5, L51#6"
Thanks for calling.,Gracias por llamar.,L51-012,sentence,primary,"after por: 'to' form, not -ing",L51#8
Thanks for calling me.,Gracias por llamarme.,L51-013,sentence,primary,object sticks on end of 'to' form,L51#8
Why wouldn't you change these for those?,¿Por qué no cambiarías estas por esas?,L51-014,sentence,primary,por qué + would-question,"L51#5, L51#6"
It is because of you that we have come.,Es por ti que hemos venido.,L51-015,sentence,primary,highlight: es … que,L51#4
tired (masc),cansado,L51-016,transformation,primary,-o for masc speaker,L51#10
tired (fem),cansada,L51-017,transformation,primary,-a for fem speaker,L51#10
I'm tired of working. (fem),Estoy cansada de trabajar.,L51-018,sentence,primary,"after de: 'to' form, not -ing","L51#11, L51#8"
I was tired of working. (fem),Estaba cansada de trabajar.,L51-019,sentence,primary,estaba = was,"L51#12, L51#11"
We were tired of working.,Estábamos cansados de trabajar.,L51-020,sentence,primary,estábamos + cansados,"L51#12, L51#11"
"form, way",forma,L51-021,transformation,primary,feminine,L51#13
to believe,creer,L51-022,transformation,primary,two e's,L51#14
to argue (false friend: discuss),discutir,L51-024,transformation,primary,"looks like discuss, means argue",L51#16
current (NOT actual),actual,L51-025,transformation,primary,false friend · means current,L51#17
currently,actualmente,L51-026,transformation,primary,-mente · current-ly,L51#17
It's a way of doing it.,Es una forma de hacerlo.,L51-028,sentence,primary,after de: 'to' form,"L51#13, L51#8"
I don't believe in arguing.,No creo en discutir.,L51-029,sentence,primary,after en: 'to' form · discutir = argue,"L51#15, L51#16"
I don't believe in arguing in this way.,No creo en discutir de esta forma.,L51-030,sentence,primary,de esta forma = in this way,"L51#15, L51#18"
We have spoken to resolve it.,Hemos hablado para resolverlo.,L52-001,sentence,primary,to = in order to → para,"L52#1, L52#2"
We have spoken to try to resolve it.,Hemos hablado para intentar resolverlo.,L52-002,sentence,primary,para + intentar + resolverlo,"L52#1, L52#2"
I am here to see you.,Estoy aquí para verte.,L52-003,sentence,primary,in-order-to → para,"L52#1, L52#4"
I've called you to speak about it.,Te he llamado para hablarlo.,L52-004,sentence,primary,hablarlo carries 'about it',L52#5
speaking (-ing form),hablando,L52-005,transformation,primary,-ar → -ando,L52#6
eating (-ing form),comiendo,L52-006,transformation,primary,-er → -iendo,L52#6
I'm eating right now.,Estoy comiendo.,L52-009,sentence,primary,estar + -iendo,L52#7
I'm speaking right now.,Estoy hablando.,L52-010,sentence,primary,estar + -ando,L52#7
I'm explaining it. (object on gerund),Estoy explicándolo.,L52-011,sentence,primary,pronoun glued to gerund · accent,L52#8
I'm explaining it. (object before estar),Lo estoy explicando.,L52-012,sentence,primary,pronoun before estar · both work,L52#8
course,curso,L52-013,transformation,primary,u not a,L52#12
I'm taking a Spanish course.,Estoy tomando un curso de español.,L52-014,sentence,primary,ongoing context,L52#11
I was taking a Spanish course.,Estaba tomando un curso de español.,L52-015,sentence,primary,estaba + -ando,"L52#10, L52#13"
Swimming is healthy.,Nadar es saludable.,L52-017,sentence,primary,general statement → 'to' form,"L52#14, L52#15"
Dancing is healthy.,Bailar es saludable.,L52-018,sentence,primary,"'to' form, not -ando","L52#14, L52#15"
irritating,irritante,L52-021,transformation,primary,-ar → -ante,"L52#16, L52#17"
frustrating,frustrante,L52-022,transformation,primary,-ar → -ante,"L52#16, L52#17"
waning (the moon),menguante,L52-023,transformation,primary,-ar → -ante · la luna menguante,"L52#17, L52#18"
living (adjective),viviente,L52-024,transformation,primary,-ir → -iente,L52#17
A living being.,Un ser viviente.,L52-026,sentence,primary,ser as noun,L52#20
Monday,lunes,L52-027,transformation,primary,from luna (moon),L52#19
Tuesday,martes,L52-028,transformation,primary,from Mars,L52#19
Wednesday,miércoles,L52-029,transformation,primary,from Mercury,L52#19
