front,back,id,type,tier,hint,rule_ref
the dinner,la cena,L47-007,transformation,primary,feminine noun,L47#3
to dine / to have dinner,cenar,L47-008,transformation,primary,la cena + -ar = verb,L47#3
to burn,quemar,L47-009,transformation,primary,-ar verb,L47#1
to break,romper,L47-010,transformation,primary,cousin of *rupture*,L47#10
the sun,el sol,L47-011,transformation,primary,masculine,L47#8
all the time,todo el tiempo,L47-012,transformation,primary,literally *all the time*,L47#11
this (masc.),este,L47-015,transformation,primary,echoes the /e/ of *el*,L47#13
this (fem.),esta,L47-016,transformation,primary,echoes the /a/ of *la*,L47#13
that (masc.),ese,L47-019,transformation,primary,este → ese (pluck the t),L47#15
those (masc.),esos,L47-021,transformation,primary,estos → esos · default for mixed groups,"L47#15, L47#16"
I was having dinner.,Cenaba.,L47-023,sentence,primary,"one form, many meanings","L47#1, L47#2"
He was burning the dinner.,Quemaba la cena.,L47-024,sentence,primary,,"L47#1, L47#7"
You-formal were burning the dinner.,Usted quemaba la cena.,L47-025,sentence,primary,*usted* disambiguates,"L47#1, L47#2"
The dinner was burning. (La…),La cena se quemaba.,L47-029,sentence,primary,*se* = it got burnt (no object after),"L47#5, L47#7, L47#1"
The dinner was burning. (Se…),Se quemaba la cena.,L47-030,sentence,primary,flexible word order with *se*,"L47#6, L47#5"
I get burnt in the sun.,Me quemo en el sol.,L47-031,sentence,primary,*me* = it happens to me,L47#8
The sun burns me.,El sol me quema.,L47-032,sentence,primary,no *se* needed — sentence is complete,L47#9
I break it.,Lo rompo.,L47-033,sentence,primary,*lo* = it (object),L47#10
It breaks all the time.,Se rompe todo el tiempo.,L47-034,sentence,primary,*se* + *todo el tiempo*,"L47#10, L47#11"
They break all the time.,Se rompen todo el tiempo.,L47-035,sentence,primary,plural: *-en*,"L47#10, L47#11"
these cars,estos autos,L47-038,sentence,primary,,L47#14
those cars,esos autos,L47-040,sentence,primary,,L47#15
Those ones break all the time.,Esos se rompen todo el tiempo.,L47-041,sentence,primary,*esos* alone = those ones,"L47#16, L47#10, L47#11"
to say,decir,L48-014,transformation,primary,irregular present forms,L48#8
to stay,quedarse,L48-016,transformation,primary,*-se* changes meaning vs *quedar*,"L48#10, L48#14"
Spanish (language),español,L48-018,transformation,primary,lower-case in Spanish,L48#10
I was eating.,Comía.,L48-021,sentence,primary,chop -er + -ía,L48#1
I would sell it.,Lo vendería.,L48-023,sentence,primary,*lo* before verb,L48#2
I was selling it.,Lo vendía.,L48-024,sentence,primary,,L48#1
I was breaking it.,Lo rompía.,L48-025,sentence,primary,,L48#1
I would break it.,Lo rompería.,L48-026,sentence,primary,,L48#2
They would break it.,Lo romperían.,L48-027,sentence,primary,,L48#2
for sale,Se vende.,L48-030,sentence,primary,literally *it sells itself*,L48#5
It was for sale.,Se vendía.,L48-031,sentence,primary,,"L48#5, L48#1"
It would be for sale.,Se vendería.,L48-032,sentence,primary,,"L48#5, L48#2"
Spanish is spoken.,Se habla español.,L48-033,sentence,primary,creative *se* usage,L48#10
It's going to break.,Se va a romper.,L48-034,sentence,primary,*va a* + infinitive,L48#6
How do you say it?,¿Cómo se dice?,L48-035,sentence,primary,literally *how does it say itself*,L48#7
I have one left.,Me queda uno.,L48-037,sentence,primary,literally *one remains to me*,"L48#11, L48#12"
I have two left.,Me quedan dos.,L48-038,sentence,primary,verb agrees with the thing left,L48#12
He has two left.,Le quedan dos.,L48-039,sentence,primary,*le* = to him/her/you-formal,L48#13
I don't have any left.,No me queda.,L48-040,sentence,primary,singular form also common,L48#13
We were staying here.,Nos quedábamos aquí.,L48-044,sentence,primary,-ábamos with accent,"L48#16, L47#1"
They weren't staying here.,No se quedaban aquí.,L48-045,sentence,primary,,"L48#16, L47#1"
to call,llamar,L49-001,transformation,primary,*ll* sounds like /y/,L49#1
to have (possession),tener,L49-002,transformation,primary,NOT for past helpers (use *haber*),L49#4
a big house,una casa grande,L49-007,transformation,primary,adjective AFTER noun,L49#8
four,cuatro,L49-008,transformation,primary,cousin of *quarter*,L49#4
but now,pero ahora,L49-009,transformation,primary,,L49#4
yesterday,ayer,L49-010,transformation,primary,,L49#10
to be (characteristics),ser,L49-013,transformation,primary,line-past *era* — like *era* in English,L49#13
My name is...,Me llamo...,L49-031,sentence,primary,literally *I call myself*,L49#1
What was his name?,¿Cómo se llamaba?,L49-034,sentence,primary,line-past of *llamar*,"L49#3, L47#1"
I used to have a big house.,Tenía una casa grande.,L49-036,sentence,primary,adjective after noun,"L49#7, L49#8"
We used to have a big house.,Teníamos una casa grande.,L49-037,sentence,primary,,"L49#7, L49#8"
I have to see you.,Tengo que verte.,L49-038,sentence,primary,*tengo que* = I must,L49#9
I had to see you.,Tenía que verte.,L49-039,sentence,primary,line-past for *had to*,L49#10
I had to see you yesterday.,Tenía que verte ayer.,L49-040,sentence,extended,,L49#10
I used to be a student.,Era estudiante.,L49-042,sentence,primary,no word for *a* needed,"L49#13, L49#14"
Were you a student?,¿Eras estudiante?,L49-043,sentence,primary,,"L49#13, L49#14"
We were students.,Éramos estudiantes.,L49-044,sentence,primary,accent on é,"L49#13, L49#15"
I was going to call you.,Iba a llamarte.,L49-045,sentence,primary,*iba a* + infinitive,L49#17
I was going to do it.,Iba a hacerlo.,L49-046,sentence,primary,,L49#17
We were going to do it.,Íbamos a hacerlo.,L49-047,sentence,primary,,L49#17
I was seeing.,Veía.,L49-048,sentence,extended,,L49#12
Those ones were breaking.,Esos se rompían.,L47-042,sentence,extended,*esos* + line-past *se*,"L47#16, L48#1"
This car breaks all the time.,Este auto se rompe todo el tiempo.,L47-044,sentence,extended,,"L47#13, L47#10, L47#11"
That dinner was burning.,Esa cena se quemaba.,L47-045,sentence,extended,,"L47#15, L47#5, L47#1"
It transforms.,Se transforma.,L47-047,sentence,extended,*se* with -ar verbs too,L47#17
It changes.,Cambia.,L47-048,sentence,extended,*cambiar* doesn't need *se*,L47#17
to transform (itself),transformarse,L47-049,transformation,extended,,L47#17
to change,cambiar,L47-050,transformation,extended,no *se* needed,L47#17
It was transforming.,Se transformaba.,L47-051,sentence,extended,*se* + -aba,"L47#17, L47#1"
We were getting burnt in the sun.,Nos quemábamos en el sol.,L47-052,sentence,extended,*nos* = ourselves,"L47#8, L47#1"
These cars break all the time.,Estos autos se rompen todo el tiempo.,L47-053,sentence,extended,,"L47#14, L47#10, L47#11"
We don't have any left. (one thing),No nos queda.,L48-046,sentence,extended,,"L48#11, L48#13"
We don't have any left. (several things),No nos quedan.,L48-047,sentence,extended,plural form also heard,"L48#12, L48#13"
I wasn't staying.,No me quedaba.,L48-048,sentence,extended,line-past of *quedarse*,L48#16
This car is for sale.,Este auto se vende.,L48-049,sentence,extended,,"L47#13, L48#5"
Those cars were for sale.,Esos autos se vendían.,L48-050,sentence,extended,,"L47#15, L48#5, L48#1"
They were eating.,Comían.,L48-053,sentence,extended,,L48#4
How is it said in Spanish?,¿Cómo se dice en español?,L48-054,sentence,extended,,L48#7
They say.,Dicen.,L48-055,sentence,extended,,L48#8
He has one left.,Le queda uno.,L48-056,sentence,extended,,L48#13
"I had four, but now none are left.","Tenía cuatro, pero ahora no me queda.",L49-051,sentence,extended,L49 + L48 combo,"L49#7, L48#13"
Did you have to do it yesterday?,¿Tenías que hacerlo ayer?,L49-052,sentence,extended,,L49#10
What was your name?,¿Cómo te llamabas?,L49-056,sentence,extended,informal past,L49#3
I was seeing you.,Te veía.,L49-060,sentence,extended,,L49#12
They were seeing it.,Lo veían.,L49-061,sentence,extended,,L49#12
He used to contain it.,Lo contenía.,L49-062,sentence,extended,-tener line-past = -tenía,"L49#5, L49#7"
We used to maintain the house.,Manteníamos la casa.,L49-063,sentence,extended,,"L49#5, L49#7"
