front,back,id,type,tier,hint,rule_ref
illegal,ilegal,L2-003,transformation,primary,single l in Spanish,L2#2
annual,anual,L2-011,transformation,primary,no /y/ in Spanish — write only what you say,L2#10
is / he is / she is / it is,es,L2-012,transformation,primary,"one word, four meanings · /es/ never /ez/","L2#6, L2#7"
no / not,no,L2-013,transformation,primary,"/noh/ — same spelling, pure vowel","L2#4, L2#9"
verb,verbo,L2-014,transformation,primary,no rule — guess by sticking -o,L2#12
tooth,diente,L2-015,transformation,primary,Latin cousin: dental,L2#11
It's normal.,Es normal.,L2-016,sentence,primary,drop the subject,"L2#7, L2#8, L2#2"
It's not normal.,No es normal.,L2-017,sentence,primary,no goes in front,"L2#9, L2#7"
It's legal.,Es legal.,L2-018,sentence,primary,,"L2#7, L2#2"
It's illegal.,Es ilegal.,L2-019,sentence,primary,single l,"L2#7, L2#2"
It's not legal.,No es legal.,L2-020,sentence,primary,,"L2#9, L2#7"
It's not natural.,No es natural.,L2-022,sentence,primary,,"L2#9, L2#7"
It's not ideal.,No es ideal.,L2-024,sentence,primary,,"L2#9, L2#7"
important,importante,L3-001,transformation,primary,-ant → -ante · stress im-por-TAN-te,"L3#1, L3#2"
different,diferente,L3-002,transformation,primary,-ent → -ente,L3#1
constant,constante,L3-003,transformation,primary,-ant → -ante,L3#1
normally,normalmente,L3-007,transformation,primary,-ly → -mente · also = usually,"L3#3, L3#6"
legally,legalmente,L3-008,transformation,primary,-ly → -mente,L3#3
constantly,constantemente,L3-009,transformation,primary,-ly → -mente (added to -ante stem),"L3#3, L3#1"
possible,posible,L3-013,transformation,primary,-ible stays · single s,L3#8
It's not important.,No es importante.,L3-023,sentence,primary,,"L2#9, L2#7, L3#1"
It's not different.,No es diferente.,L3-024,sentence,primary,,"L2#9, L2#7, L3#1"
Normally it's legal.,Normalmente es legal.,L3-025,sentence,primary,-ly → -mente · drop subject,"L3#3, L3#6, L2#7, L2#2"
Usually it's important.,Normalmente es importante.,L3-026,sentence,primary,*normalmente* doubles for *usually*,"L3#6, L3#3, L3#1, L2#7"
Generally it's possible.,Generalmente es posible.,L3-027,sentence,primary,,"L3#3, L3#7, L3#8, L2#7"
It's not possible.,No es posible.,L3-029,sentence,primary,,"L2#9, L2#7, L3#8"
It's not digital.,No es digital.,L3-034,sentence,primary,,"L2#9, L2#7, L3#7, L2#2"
Really it's ideal.,Realmente es ideal.,L3-036,sentence,primary,,"L3#3, L3#4, L2#7, L2#2"
incredible,increíble,L3-049,transformation,extended,-ible stays · accent on í,L3#8
impossible,imposible,L3-050,transformation,extended,-ible stays · single s,L3#8
It's not impossible.,No es imposible.,L3-060,sentence,extended,,"L2#9, L2#7, L3#8"
