front,back,id,type,tier,hint,rule_ref
I speak,hablo,L11-001,transformation,primary,hablar → hablo · silent h · /AB-lo/,"L11#2, L11#7"
I tolerate,tolero,L11-002,transformation,primary,tolerar → tolero · stress to-LE-ro,"L11#2, L11#3"
I eliminate,elimino,L11-003,transformation,primary,eliminar → elimino · /e-li-MI-no/,"L11#2, L11#6"
I tweet,tuiteo,L11-008,transformation,primary,tuitear → tuiteo · new verbs all -ar,"L11#1, L11#2"
it lasts,dura,L11-009,transformation,primary,durar → dura · -ar key vowel /a/,L11#4
he speaks,habla,L11-010,transformation,primary,hablar → habla · silent h,"L11#4, L11#7"
she eliminates,elimina,L11-011,transformation,primary,eliminar → elimina,L11#4
they speak,hablan,L11-015,transformation,primary,habla + n · they / you guys,L11#5
you speak,hablas,L11-016,transformation,primary,habla + s · informal *tú*,L11#5
they collaborate,colaboran,L11-017,transformation,primary,colabora + n,L11#5
duration,duración,L11-018,transformation,primary,-tion → -ción · *dura* = it lasts,L11#13
to bite,morder,L11-019,transformation,primary,cf. mordant · -er verb,"L11#1, L11#13"
It lasts a lot.,Dura mucho.,L11-021,sentence,primary,*dura* = he/she/it lasts,L11#4
It doesn't last long.,No dura mucho.,L11-022,sentence,primary,*no* before the changed verb,"L11#4, L2#9"
He isn't exaggerating.,No exagera.,L11-023,sentence,primary,drop subject · no + verb,"L11#4, L2#9"
They don't speak with Pablo.,No hablan con Pablo.,L11-024,sentence,primary,*hablan* = they speak,"L11#5, L2#9"
I want to speak.,Quiero hablar.,L11-025,sentence,primary,*quiero* + to-form,L11#7
I'm going to speak.,Voy a hablar.,L11-026,sentence,primary,*voy a* + to-form · two /a/s blur,L11#8
I want it.,Lo quiero.,L11-027,sentence,primary,*lo* goes before the changed verb,"L11#9, L11#11"
I want to see it. (Quiero…),Quiero verlo.,L11-028,sentence,primary,stuck on the to-form,L11#10
I want to see it. (Lo…),Lo quiero ver.,L11-029,sentence,primary,same meaning · *lo* before whole thing,L11#10
