front,back,id,type,tier,hint,rule_ref
I tell / I count,cuento,L71-001,transformation,primary,o-split · also = a story (noun),L71#1
a story,un cuento,L71-002,transformation,primary,same form as *I tell*,L71#1
to count on,contar con,L71-003,transformation,primary,Spanish uses *with* where English uses *on*,L71#3
I hope you wait.,Espero que esperes.,L71-004,sentence,primary,hope-that triggers mood,L71#5
I like that,me gusta que,L71-005,transformation,primary,subjective → triggers mood tense,L71#14
to the (masculine),al,L71-006,transformation,primary,a + el contracts to one word,L71#11
I want you to tell me.,Quiero que me cuentes.,L71-016,sentence,primary,que + mood · little word before,L71#2
I want you all to tell me something.,Quiero que me cuenten algo.,L71-017,sentence,primary,-en for plural mood,L71#2
I want you to count on me.,Quiero que cuentes conmigo.,L71-018,sentence,primary,count *with* me — no personal a needed,"L71#3, L71#9"
I hope you count on me.,Espero que cuentes conmigo.,L71-019,sentence,primary,hope-that triggers mood,"L71#5, L71#3"
We hope they count on María.,Esperamos que cuenten con María.,L71-020,sentence,primary,con → no personal a,"L71#5, L71#9"
I hope they see María.,Espero que vean a María.,L71-022,sentence,primary,ver mood from veo · personal a,"L71#6, L71#7"
I hope you understand David.,Espero que comprendas a David.,L71-023,sentence,primary,action done TO a specific person,"L71#7, L71#10"
I hope she understands David.,Espero que comprenda a David.,L71-024,sentence,primary,-a ending for she-form mood,"L71#7, L71#10"
I want him to see the man.,Quiero que vea al hombre.,L71-025,sentence,primary,a + el = al · personal a,"L71#11, L71#12"
I want the man to see.,Quiero que el hombre vea.,L71-026,sentence,primary,subject before verb · no personal a,L71#13
I like that the teacher visits.,Me gusta que la profesora visite.,L71-027,sentence,primary,like-that triggers mood,L71#14
I like that he visits the teacher.,Me gusta que visite a la profesora.,L71-028,sentence,primary,teacher is being visited → personal a,"L71#14, L71#16"
To escape death.,Escapar a la muerte.,L71-029,sentence,primary,personification with personal a,L71#18
I need to find the plumber.,Necesito encontrar al plomero.,L71-030,sentence,primary,specific person → a + el = al,"L71#17, L71#11"
I need to find a plumber.,Necesito encontrar un plomero.,L71-031,sentence,primary,any plumber → no personal a,L71#17
I hope they see the doctor.,Espero que vean al doctor.,L71-033,sentence,extended,a + el · ver mood plural,"L71#6, L71#11"
