front,back,id,type,tier,hint,rule_ref
I spoke,hablé,L58-015,transformation,primary,-ar I-past → -é · NOT -ó (English-feel trap),"L58#3, L58#5"
still / yet,todavía,L58-024,transformation,primary,"literally *toda + vía* = ""all the way""",L58#10
I spoke.,Hablé.,L58-027,sentence,primary,drop subject · -ar I-past → -é,L58#3
He spoke.,Habló.,L58-028,sentence,primary,-ar he-past → -ó,L58#3
I didn't speak.,No hablé.,L58-029,sentence,primary,*no* before verb · I-past → -é,"L58#3, L58#5"
He didn't speak.,No habló.,L58-030,sentence,primary,*no* before verb · he-past → -ó,L58#3
I bought.,Compré.,L58-031,sentence,primary,,L58#3
I didn't buy it.,No lo compré.,L58-033,sentence,primary,*no* + object + verb,L58#3
I didn't send it to you.,No te lo envié.,L58-039,sentence,primary,,"L58#3, L58#9"
It was sent.,Se envió.,L58-042,sentence,primary,"""it sent itself"" — no need for *lo*",L58#11
It was sent yesterday.,Se envió ayer.,L58-043,sentence,primary,passive *se* + point-past,"L58#11, L58#13"
I was going to do it but I forgot.,Lo iba a hacer pero lo olvidé.,L58-049,sentence,primary,line-past *iba* + point-past *olvidé*,"L58#15, L58#16"
I prepared,preparé,L58-050,transformation,extended,-ar I-past → -é,L58#3
he prepared,preparó,L58-051,transformation,extended,-ar he-past → -ó,L58#3
He sent it to me yesterday.,Me lo envió ayer.,L58-054,sentence,extended,indirect + direct + verb,"L58#9, L58#13"
I didn't forget.,No olvidé.,L58-055,sentence,extended,,L58#14
I didn't forget it.,No lo olvidé.,L58-056,sentence,extended,,L58#14
It was sent to you.,Se te envió.,L58-058,sentence,extended,passive *se* + indirect *te*,L58#11
He didn't buy it for me.,No me lo compró.,L58-060,sentence,extended,,"L58#3, L58#7"
She forgot it yesterday.,Lo olvidó ayer.,L58-063,sentence,extended,,"L58#14, L58#13"
nothing,nada,L59-021,transformation,primary,"also ""anything"" in double-negatives",L59#10
nobody,nadie,L59-022,transformation,primary,"also ""anybody"" in double-negatives",L59#11
to last,durar,L59-023,transformation,primary,"-ar verb · cousin of ""endure""",L59#12
during / for (with time),durante,L59-024,transformation,primary,"-ante ""-ing adjective"" pattern",L59#13
without,sin,L59-025,transformation,primary,short preposition · followed by unchanged form,L59#15
to stop,parar,L59-026,transformation,primary,cousin of *par* (pair),L59#16
shoes,zapatos,L59-028,transformation,primary,plural noun,L59#16
half an hour,media hora,L59-030,transformation,primary,*media* (half) + *hora*,L59#13
I ate.,Comí.,L59-033,sentence,primary,,L59#2
He ate.,Comió.,L59-034,sentence,primary,,L59#2
I left.,Salí.,L59-035,sentence,primary,,"L59#2, L59#4"
I ate more than he (did).,Comí más que él.,L59-039,sentence,primary,"use *él* after *que*, not *mí*","L59#6, L59#7"
He ate more than I (did).,Comió más que yo.,L59-040,sentence,primary,"use *yo* after *que*, not *mí*","L59#6, L59#7"
I saw it.,Lo vi.,L59-041,sentence,primary,,L59#8
I didn't see it.,No lo vi.,L59-042,sentence,primary,,L59#8
He saw me.,Me vio.,L59-043,sentence,primary,,L59#8
He didn't see me.,No me vio.,L59-044,sentence,primary,,L59#8
"I saw him, but he didn't see me.","Lo vi, pero no me vio.",L59-045,sentence,primary,contrasting subjects · 9 words,"L59#8, L59#9"
I didn't see anything.,No vi nada.,L59-046,sentence,primary,"literally ""didn't see nothing"" — double negative is fine",L59#10
I didn't eat anything.,No comí nada.,L59-047,sentence,primary,double negative,L59#10
Didn't you (formal) eat anything?,¿No comió nada?,L59-048,sentence,primary,question · *usted* implied,L59#10
Nobody saw anything.,Nadie vio nada.,L59-050,sentence,primary,double negative without *no* — *nadie* is already negative,L59#11
It lasted two minutes.,Duró dos minutos.,L59-051,sentence,primary,,L59#12
I lasted two minutes.,Duré dos minutos.,L59-052,sentence,primary,"-ar I-past → -é · same verb, different person",L59#12
For two minutes.,Durante dos minutos.,L59-053,sentence,primary,"*durante* + time = ""for""","L59#13, L59#14"
A pair of shoes.,Un par de zapatos.,L59-057,sentence,primary,,L59#16
I lived,viví,L59-058,transformation,extended,-ir I-past → -í,L59#2
he lived,vivió,L59-059,transformation,extended,-ir he-past → -ió,L59#2
I didn't see anybody.,No vi a nadie.,L59-062,sentence,extended,personal *a* before *nadie*,L59#11
Nobody ate.,Nadie comió.,L59-064,sentence,extended,*nadie* alone is enough negative,L59#11
It lasted half an hour.,Duró media hora.,L59-067,sentence,extended,,"L59#12, L59#13"
For half an hour without stopping.,Durante media hora sin parar.,L59-068,sentence,extended,5 words in Spanish,"L59#13, L59#15"
I hope that he ate.,Espero que comió.,L59-070,sentence,extended,*espero que* + past,L59#5
we spoke,hablamos,L60-009,transformation,primary,-ar we-past = same as present,"L60#2, L60#3"
we ate,comimos,L60-010,transformation,primary,-er we-past → -imos (NOT -emos),L60#5
we lived,vivimos,L60-011,transformation,primary,-ir we-past = same as present,L60#4
we saw,vimos,L60-012,transformation,primary,present *vemos* → past *vimos*,L60#7
we left,salimos,L60-013,transformation,primary,same as present — -ir,L60#7
we lost,perdimos,L60-014,transformation,primary,-er differs · -imos in past,L60#7
we understood,comprendimos,L60-015,transformation,primary,-er differs · -imos in past,L60#5
everything,todo,L60-017,transformation,primary,same root as *toda*,L60#10
often,a menudo,L60-019,transformation,primary,idiom · *menudo* alone = small (rare),L60#16
to despair,desesperar,L60-021,transformation,primary,*des-* + *esperar* (un-hope),L60#11
no problem,ningún problema,L60-022,transformation,primary,"NOT ""no problemo"" · *problema* is masc. -a",L60#12
to get lost,perderse,L60-023,transformation,primary,"reflexive · ""to lose oneself""",L60#14
"When we speak, I understand everything.","Cuando hablamos, comprendo todo.",L60-024,sentence,primary,present-tense reading of *hablamos*,"L60#3, L60#8"
