front,back,id,type,tier,hint,rule_ref
mood she form of seguir,siga,L78-034,conjugation,primary,follow (subj.) · e→i · mood swap to -a,L78#3
mood they form of comenzar,comiencen,L78-035,conjugation,primary,start (subj.) · e→ie · mood swap to -en,L78#10
mood they form of terminar,terminen,L78-036,conjugation,primary,finish (subj.) · -ar mood swaps to -en,L78#17
mood they form of empezar,empiecen,L78-037,conjugation,primary,start (subj.) · e→ie · z→c before -en,L78#9
mood you (informal) form of dejar,dejes,L79-034,conjugation,primary,leave (subj.) · -ar mood swaps to -es,L79#4
mood she form of dejar,deje,L79-035,conjugation,primary,leave (subj.) · -ar mood swaps to -e,L79#4
mood they form of dejar,dejen,L79-036,conjugation,primary,leave (subj.) · -ar mood swaps to -en,L79#4
she form of cerrar,cierra,L80-041,conjugation,primary,to close · e→ie spine,L80#8
she form of quemar,quema,L80-042,conjugation,primary,to burn · -ar verb · qu = /k/,L80#10
point past she form of acabar,acabó,L80-043,conjugation,primary,to finish / run out · -ó point past,L80#17
she form of acabar,acaba,L80-044,conjugation,primary,to finish / run out · -ar verb,L80#12
